case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms
coeff_prop_4l,BalancedZippel,1,ok,8029357.394,89757,8,7,,,2305843009213693967:12822;2305843009213693973:12822;2305843009213694009:12822;2305843009213694017:12822;2305843009213694087:12822;2305843009213694149:12822;2305843009213694173:12822;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,57.347
coeff_prop_4l,CuytLeePruned,1,ok,15930055.365,91626,8,7,,,2305843009213693967:13089;2305843009213693973:13089;2305843009213694009:13089;2305843009213694017:13089;2305843009213694087:13089;2305843009213694149:13089;2305843009213694173:13089;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,91.128
aajamp,BalancedZippel,1,ok,31339973.124,73159,2,1,,,2305843009213693967:73156;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5781.932
aajamp,CuytLeePruned,1,ok,16971948.595,43925,2,1,,,2305843009213693967:43922;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5996.944
coeff_prop_4l_mod,CuytLeePruned,1,ok,16658720.466,91612,8,7,,,2305843009213693967:13087;2305843009213693973:13087;2305843009213694009:13087;2305843009213694017:13087;2305843009213694087:13087;2305843009213694149:13087;2305843009213694173:13087;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,62.865
coeff_prop_4l_mod,BalancedZippel,1,ok,7814237.389,89757,8,7,,,2305843009213693967:12822;2305843009213693973:12822;2305843009213694009:12822;2305843009213694017:12822;2305843009213694087:12822;2305843009213694149:12822;2305843009213694173:12822;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,101.642
aajamp_mod,CuytLeePruned,1,ok,16992427.096,43923,2,1,,,2305843009213693967:43920;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,6168.562
aajamp_mod,BalancedZippel,1,ok,34882548.800,73159,2,1,,,2305843009213693967:73156;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,6175.464
