case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms
coeff_prop_4l,CuytLeePruned,1,ok,11381006.475,71286,8,7,6,0,2305843009213693967:13089;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,61.631
coeff_prop_4l,BalancedZippel,1,ok,10308100.984,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,63.506
coeff_prop_4l_mod,CuytLeePruned,1,ok,11352379.066,71284,8,7,6,0,2305843009213693967:13087;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,63.169
coeff_prop_4l_mod,BalancedZippel,1,ok,10277849.286,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,49.733
aajamp,CuytLeePruned,1,ok,15961275.703,43925,2,1,0,0,2305843009213693967:43922;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5150.709
aajamp,BalancedZippel,1,ok,29978939.262,73159,2,1,0,0,2305843009213693967:73156;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5503.163
aajamp_mod,CuytLeePruned,1,ok,15585503.483,43923,2,1,0,0,2305843009213693967:43920;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5415.023
aajamp_mod,BalancedZippel,1,ok,29214611.472,73159,2,1,0,0,2305843009213693967:73156;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5148.954
