case,baseline,current,change,firefly_best,selected_methods
fire7_graph5_rank0413,28,28,0,29,BalancedZippelSeparated
fire7_graph5_rank0414,20,19,-1,17,BalancedZippelSeparated
fire7_graph5_rank0415,20,19,-1,17,BalancedZippelSeparated
fire7_graph5_rank0416,23,23,0,23,BalancedZippelSeparated
fire7_graph5_rank0417,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0418,22,22,0,23,BalancedZippelSeparated
fire7_graph5_rank0419,23,21,-2,20,BalancedZippelSeparated
fire7_graph5_rank0420,19,19,0,20,BalancedZippelSeparated
fire7_graph5_rank0421,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0422,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0423,22,21,-1,23,BalancedZippelSeparated
fire7_graph5_rank0424,22,21,-1,23,BalancedZippelSeparated
fire7_graph5_rank0425,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0426,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0427,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0428,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0429,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0430,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0431,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0432,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0433,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0434,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0435,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0436,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0437,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0438,22,21,-1,23,BalancedZippelSeparated
fire7_graph5_rank0439,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0440,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0441,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0442,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0443,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0444,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0445,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0446,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0447,22,22,0,23,BalancedZippelSeparated
fire7_graph5_rank0448,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0449,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0450,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0451,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0452,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0453,17,17,0,15,BalancedZippelSeparated
fire7_graph5_rank0454,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0455,22,21,-1,23,BalancedZippelSeparated
fire7_graph5_rank0456,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0457,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0458,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0459,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0460,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0461,25,25,0,23,BalancedZippelSeparated
fire7_graph5_rank0462,24,22,-2,24,BalancedZippelSeparated
fire7_graph5_rank0463,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0464,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0465,24,24,0,25,BalancedZippelSeparated
fire7_graph5_rank0466,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0467,26,24,-2,29,BalancedZippelSeparated
fire7_graph5_rank0468,19,19,0,20,BalancedZippelSeparated
fire7_graph5_rank0469,23,23,0,21,BalancedZippelSeparated
fire7_graph5_rank0470,24,22,-2,24,BalancedZippelSeparated
fire7_graph5_rank0471,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0472,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0473,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0474,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0475,21,21,0,21,BalancedZippelSeparated
fire7_graph5_rank0476,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0477,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0478,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0479,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0480,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0481,26,26,0,25,BalancedZippelSeparated
fire7_graph5_rank0482,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0483,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0484,22,22,0,22,BalancedZippelSeparated
fire7_graph5_rank0485,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0486,19,19,0,16,BalancedZippelSeparated
fire7_graph5_rank0487,23,23,0,20,BalancedZippelSeparated
fire7_graph5_rank0488,26,23,-3,27,BalancedZippelSeparated
fire7_graph5_rank0489,20,20,0,20,BalancedZippelSeparated
fire7_graph5_rank0490,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0491,21,20,-1,17,BalancedZippelSeparated
fire7_graph5_rank0492,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0493,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0494,22,22,0,17,BalancedZippelSeparated
fire7_graph5_rank0495,22,22,0,17,BalancedZippelSeparated
fire7_graph5_rank0496,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0497,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0498,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0499,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0500,22,22,0,17,BalancedZippelSeparated
fire7_graph5_rank0501,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0502,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0503,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0504,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0505,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0506,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0507,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0508,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0509,26,26,0,27,BalancedZippelSeparated
fire7_graph5_rank0510,23,22,-1,24,BalancedZippelSeparated
fire7_graph5_rank0511,23,23,0,21,BalancedZippelSeparated
fire7_graph5_rank0512,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0513,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0514,23,23,0,21,BalancedZippelSeparated
fire7_graph5_rank0515,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0516,23,22,-1,21,BalancedZippelSeparated
fire7_graph5_rank0517,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0518,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0519,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0520,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0521,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0522,20,20,0,17,BalancedZippelSeparated
fire7_graph5_rank0523,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0524,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0525,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0526,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0527,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0528,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0529,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0530,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0531,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0532,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0533,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0534,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0535,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0536,19,19,0,20,BalancedZippelSeparated
fire7_graph5_rank0537,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0538,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0539,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0540,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0541,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0542,20,20,0,18,BalancedZippelSeparated
fire7_graph5_rank0543,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0544,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0545,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0546,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0547,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0548,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0549,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0550,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0551,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0552,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0553,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0554,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0555,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0556,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0557,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0558,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0559,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0560,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0561,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0562,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0563,20,20,0,18,BalancedZippelSeparated
fire7_graph5_rank0564,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0565,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0566,22,22,0,20,BalancedZippelSeparated
fire7_graph5_rank0567,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0568,26,26,0,27,BalancedZippelSeparated
fire7_graph5_rank0569,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0570,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0571,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0572,24,24,0,25,BalancedZippelSeparated
fire7_graph5_rank0573,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0574,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0575,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0576,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0577,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0578,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0579,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0580,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0581,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0582,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0583,21,21,0,20,BalancedZippelSeparated
fire7_graph5_rank0584,22,21,-1,19,BalancedZippelSeparated
fire7_graph5_rank0585,19,19,0,17,BalancedZippelSeparated
fire7_graph5_rank0586,21,21,0,20,BalancedZippelSeparated
fire7_graph5_rank0587,20,19,-1,15,BalancedZippelSeparated
fire7_graph5_rank0588,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0589,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0590,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0591,19,19,0,17,BalancedZippelSeparated
fire7_graph5_rank0592,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0593,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0594,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0595,20,19,-1,15,BalancedZippelSeparated
fire7_graph5_rank0596,28,28,0,29,BalancedZippelSeparated
fire7_graph5_rank0597,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0598,20,19,-1,15,BalancedZippelSeparated
fire7_graph5_rank0599,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0600,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0601,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0602,23,21,-2,20,BalancedZippelSeparated
fire7_graph5_rank0603,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0604,19,19,0,17,BalancedZippelSeparated
fire7_graph5_rank0605,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0606,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0607,23,21,-2,20,BalancedZippelSeparated
fire7_graph5_rank0608,23,21,-2,20,BalancedZippelSeparated
fire7_graph5_rank0609,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0610,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0611,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0612,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0613,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0614,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0615,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0616,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0617,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0618,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0619,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0620,20,20,0,18,BalancedZippelSeparated
fire7_graph5_rank0621,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0622,19,19,0,17,BalancedZippelSeparated
fire7_graph5_rank0623,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0624,15,15,0,10,BalancedZippelSeparated
fire7_graph5_rank0625,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0626,20,19,-1,15,BalancedZippelSeparated
fire7_graph5_rank0627,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0628,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0629,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0630,26,26,0,25,BalancedZippelSeparated
fire7_graph5_rank0631,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0632,19,19,0,17,BalancedZippelSeparated
fire7_graph5_rank0633,26,26,0,25,BalancedZippelSeparated
fire7_graph5_rank0634,22,22,0,20,BalancedZippelSeparated
fire7_graph5_rank0635,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0636,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0637,15,15,0,10,BalancedZippelSeparated
fire7_graph5_rank0638,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0639,23,23,0,21,BalancedZippelSeparated
fire7_graph5_rank0640,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0641,23,21,-2,20,BalancedZippelSeparated
fire7_graph5_rank0642,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0643,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0644,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0645,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0646,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0647,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0648,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0649,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0650,15,15,0,10,BalancedZippelSeparated
fire7_graph5_rank0651,23,23,0,21,BalancedZippelSeparated
fire7_graph5_rank0652,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0653,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0654,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0655,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0656,19,19,0,13,BalancedZippelSeparated
fire7_graph5_rank0657,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0658,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0659,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0660,22,22,0,15,BalancedZippelSeparated
fire7_graph5_rank0661,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0662,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0663,18,18,0,11,BalancedZippelSeparated
fire7_graph5_rank0664,18,18,0,11,BalancedZippelSeparated
fire7_graph5_rank0665,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0666,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0667,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0668,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0669,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0670,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0671,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0672,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0673,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0674,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0675,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0676,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0677,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0678,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0679,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0680,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0681,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0682,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0683,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0684,23,21,-2,19,BalancedZippelSeparated
fire7_graph5_rank0685,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0686,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0687,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0688,20,20,0,17,BalancedZippelSeparated
fire7_graph5_rank0689,22,22,0,15,BalancedZippelSeparated
fire7_graph5_rank0690,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0691,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0692,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0693,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0694,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0695,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0696,16,16,0,8,BalancedZippelSeparated
fire7_graph5_rank0697,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0698,19,19,0,16,BalancedZippelSeparated
fire7_graph5_rank0699,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0700,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0701,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0702,20,19,-1,17,BalancedZippelSeparated
fire7_graph5_rank0703,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0704,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0705,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0706,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0707,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0708,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0709,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0710,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0711,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0712,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0713,17,17,0,14,BalancedZippelSeparated
fire7_graph5_rank0714,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0715,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0716,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0717,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0718,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0719,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0720,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0721,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0722,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0723,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0724,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0725,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0726,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0727,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0728,21,20,-1,18,BalancedZippelSeparated
fire7_graph5_rank0729,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0730,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0731,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0732,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0733,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0734,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0735,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0736,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0737,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0738,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0739,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0740,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0741,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0742,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0743,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0744,20,19,-1,17,BalancedZippelSeparated
fire7_graph5_rank0745,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0746,20,20,0,17,BalancedZippelSeparated
fire7_graph5_rank0747,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0748,20,19,-1,17,BalancedZippelSeparated
fire7_graph5_rank0749,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0750,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0751,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0752,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0753,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0754,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0755,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0756,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0757,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0758,20,19,-1,17,BalancedZippelSeparated
fire7_graph5_rank0759,20,19,-1,17,BalancedZippelSeparated
fire7_graph5_rank0760,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0761,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0762,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0763,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0764,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0765,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0766,20,19,-1,17,BalancedZippelSeparated
fire7_graph5_rank0767,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0768,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0769,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0770,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0771,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0772,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0773,22,21,-1,20,BalancedZippelSeparated
fire7_graph5_rank0774,17,17,0,10,BalancedZippelSeparated
fire7_graph5_rank0775,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0776,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0777,20,19,-1,17,BalancedZippelSeparated
fire7_graph5_rank0778,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0779,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0780,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0781,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0782,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0783,16,16,0,11,BalancedZippelSeparated
fire7_graph5_rank0784,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0785,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0786,18,18,0,11,BalancedZippelSeparated
fire7_graph5_rank0787,16,16,0,9,BalancedZippelSeparated
fire7_graph5_rank0788,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0789,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0790,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0791,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0792,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0793,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0794,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0795,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0796,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0797,17,17,0,12,BalancedZippelSeparated
fire7_graph5_rank0798,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0799,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0800,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0801,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0802,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0803,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0804,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0805,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0806,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0807,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0808,15,15,0,7,BalancedZippelSeparated
fire7_graph5_rank0809,16,16,0,9,BalancedZippelSeparated
fire7_graph5_rank0810,18,18,0,14,BalancedZippelSeparated
fire7_graph5_rank0811,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0812,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0813,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0814,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0815,19,19,0,15,BalancedZippelSeparated
fire7_graph5_rank0816,17,17,0,10,BalancedZippelSeparated
fire7_graph5_rank0817,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0818,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0819,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0820,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0821,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0822,20,20,0,13,BalancedZippelSeparated
fire7_graph5_rank0823,22,22,0,15,BalancedZippelSeparated
fire7_graph5_rank0824,18,18,0,10,BalancedZippelSeparated
fire7_graph5_rank0825,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0826,18,18,0,13,BalancedZippelSeparated
fire7_graph5_rank0827,14,14,0,6,BalancedZippelSeparated
fire7_graph5_rank0828,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0829,15,15,0,8,BalancedZippelSeparated
fire7_graph5_rank0830,17,17,0,11,BalancedZippelSeparated
fire7_graph5_rank0831,20,19,-1,16,BalancedZippelSeparated
fire7_graph5_rank0832,18,18,0,12,BalancedZippelSeparated
