case,method,seed,status,elapsed_us,probes,prime,oracle,degree_race,num_terms,den_terms,setup_ms,selected_methods,selection_probes,sparse_rows,sparse_row_fallbacks
firefly_f1,Automatic,1,ok,16647.690,1945,9223372036854775783,cached_powers,0,20,20,0.366,BalancedZippel,131,190,0
firefly_f2,Automatic,1,ok,31747.315,1478,9223372036854775783,cached_powers,0,3,2,0.253,BalancedZippel,226,3,0
firefly_f3,Automatic,1,ok,11556011.727,26702,9223372036854775783,cached_powers,0,26333,3,237.304,CuytLeePruned,218,0,0
firefly_f4,Automatic,1,ok,56895966.364,53531,9223372036854775783,cached_powers,0,53129,3,132.604,CuytLeePruned,254,0,0
