case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_largest,FIRE7_Q_learned,1,ok,205476.720,6721,3,2,,,18446744073709551521:3;18446744073709551533:3341;18446744073709551557:3377,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_largest,FIRE7_Q,1,ok,379125.147,10697,3,2,,,18446744073709551521:3;18446744073709551533:5347;18446744073709551557:5347,FIRE7_native_64,cached_powers_Q,858,414,,
aajamp,FIRE7_Q_learned,1,ok,107943737.224,230621,3,2,,,18446744073709551521:3;18446744073709551533:115264;18446744073709551557:115354,FIRE7_native_64,cached_powers_Q,23260,7231,,
aajamp,FIRE7_Q,1,ok,190128855.893,432201,3,2,,,18446744073709551521:3;18446744073709551533:216099;18446744073709551557:216099,FIRE7_native_64,cached_powers_Q,23260,7231,,
aajamp_mod,FIRE7_Q_learned,1,ok,98695097.293,230621,3,2,,,18446744073709551521:3;18446744073709551533:115264;18446744073709551557:115354,FIRE7_native_64,cached_powers_Q,23260,7231,,
aajamp_mod,FIRE7_Q,1,ok,192662645.918,432201,3,2,,,18446744073709551521:3;18446744073709551533:216099;18446744073709551557:216099,FIRE7_native_64,cached_powers_Q,23260,7231,,
