case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
aajamp,FireFly_scan,1,ok,56191775.034,48755,2,,,,9223372036854775643:243;9223372036854775783:48512,FireFly_default,cached_powers_Q,23260,7231,,
aajamp,Automatic,1,ok,15873111.030,43960,2,1,0,0,2305843009213693967:43957;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5219.462,CuytLeePruned
aajamp_mod,FireFly_scan,1,ok,58668232.968,48627,2,,,,9223372036854775643:115;9223372036854775783:48512,FireFly_default,cached_powers_Q,23260,7231,,
aajamp_mod,Automatic,1,ok,17661944.506,43958,2,1,0,0,2305843009213693967:43955;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5545.461,CuytLeePruned
