case,baseline,current,change,firefly_best
fire7_nb0_rank0137,666,665,-1,1795
fire7_nb0_rank0138,430,429,-1,1615
fire7_nb0_rank0139,437,436,-1,1395
fire7_nb0_rank0140,488,487,-1,1383
fire7_nb0_rank0141,664,663,-1,1729
fire7_nb0_rank0142,565,564,-1,1515
fire7_nb0_rank0143,495,494,-1,1318
fire7_nb0_rank0144,497,496,-1,1439
fire7_nb0_rank0145,556,555,-1,1669
fire7_nb0_rank0146,460,459,-1,1528
fire7_nb0_rank0147,405,404,-1,1348
fire7_nb0_rank0148,540,539,-1,1884
fire7_nb0_rank0149,485,484,-1,1269
fire7_nb0_rank0150,465,464,-1,1350
fire7_nb0_rank0151,484,483,-1,1314
fire7_nb0_rank0152,405,404,-1,963
fire7_nb0_rank0153,465,464,-1,1399
fire7_nb0_rank0154,497,496,-1,1387
fire7_nb0_rank0155,416,415,-1,869
fire7_nb0_rank0156,540,539,-1,1855
fire7_nb0_rank0157,415,414,-1,1225
fire7_nb0_rank0158,458,457,-1,1318
fire7_nb0_rank0159,581,580,-1,1529
fire7_nb0_rank0160,581,580,-1,1305
fire7_nb0_rank0161,544,543,-1,1535
fire7_nb0_rank0162,434,433,-1,1189
fire7_nb0_rank0163,577,576,-1,1627
fire7_nb0_rank0164,404,403,-1,1227
fire7_nb0_rank0165,567,566,-1,1514
fire7_nb0_rank0166,531,530,-1,1564
fire7_nb0_rank0167,362,361,-1,849
fire7_nb0_rank0168,534,533,-1,1473
fire7_nb0_rank0169,488,487,-1,947
fire7_nb0_rank0170,488,487,-1,947
fire7_nb0_rank0171,427,426,-1,1160
fire7_nb0_rank0172,411,410,-1,912
fire7_nb0_rank0173,513,512,-1,975
fire7_nb0_rank0174,399,398,-1,628
fire7_nb0_rank0175,370,369,-1,628
fire7_nb0_rank0176,604,603,-1,2039
fire7_nb0_rank0177,483,482,-1,1271
fire7_nb0_rank0178,497,496,-1,1554
fire7_nb0_rank0179,396,395,-1,1042
fire7_nb0_rank0180,614,613,-1,1648
fire7_nb0_rank0181,502,501,-1,1612
