case,baseline,current,change,firefly_best
fire7_nb0_rank0620,231,230,-1,551
fire7_nb0_rank0621,300,299,-1,660
fire7_nb0_rank0622,264,263,-1,763
fire7_nb0_rank0623,219,218,-1,407
fire7_nb0_rank0624,206,205,-1,458
fire7_nb0_rank0625,211,210,-1,509
fire7_nb0_rank0626,367,366,-1,747
fire7_nb0_rank0627,258,257,-1,591
fire7_nb0_rank0628,224,223,-1,549
fire7_nb0_rank0629,241,240,-1,554
fire7_nb0_rank0630,232,231,-1,488
fire7_nb0_rank0631,282,281,-1,588
fire7_nb0_rank0632,266,265,-1,753
fire7_nb0_rank0633,255,254,-1,653
fire7_nb0_rank0634,219,218,-1,516
fire7_nb0_rank0635,336,335,-1,633
fire7_nb0_rank0636,319,318,-1,610
fire7_nb0_rank0637,261,260,-1,558
fire7_nb0_rank0638,192,191,-1,359
fire7_nb0_rank0639,221,220,-1,562
fire7_nb0_rank0640,180,179,-1,449
fire7_nb0_rank0641,212,211,-1,536
fire7_nb0_rank0642,219,218,-1,483
fire7_nb0_rank0643,336,335,-1,633
fire7_nb0_rank0644,199,198,-1,402
fire7_nb0_rank0645,187,186,-1,624
fire7_nb0_rank0646,232,231,-1,492
fire7_nb0_rank0647,195,194,-1,468
fire7_nb0_rank0648,355,354,-1,544
fire7_nb0_rank0649,210,209,-1,459
fire7_nb0_rank0650,185,184,-1,460
fire7_nb0_rank0651,202,201,-1,457
fire7_nb0_rank0652,240,239,-1,570
fire7_nb0_rank0653,156,155,-1,457
fire7_nb0_rank0654,168,167,-1,440
fire7_nb0_rank0655,249,248,-1,677
fire7_nb0_rank0656,172,171,-1,454
fire7_nb0_rank0657,261,260,-1,555
fire7_nb0_rank0658,176,175,-1,525
fire7_nb0_rank0659,158,157,-1,351
fire7_nb0_rank0660,211,210,-1,553
fire7_nb0_rank0661,195,194,-1,333
fire7_nb0_rank0662,199,198,-1,442
fire7_nb0_rank0663,225,224,-1,532
fire7_nb0_rank0664,273,272,-1,563
fire7_nb0_rank0665,230,229,-1,573
fire7_nb0_rank0666,187,186,-1,313
fire7_nb0_rank0667,258,257,-1,730
fire7_nb0_rank0668,235,234,-1,508
fire7_nb0_rank0669,172,171,-1,337
fire7_nb0_rank0670,212,211,-1,465
fire7_nb0_rank0671,222,221,-1,515
fire7_nb0_rank0672,192,191,-1,440
fire7_nb0_rank0673,191,190,-1,413
fire7_nb0_rank0674,307,306,-1,628
fire7_nb0_rank0675,236,235,-1,669
fire7_nb0_rank0676,200,199,-1,541
fire7_nb0_rank0677,186,185,-1,425
fire7_nb0_rank0678,228,227,-1,561
fire7_nb0_rank0679,197,196,-1,458
fire7_nb0_rank0680,252,251,-1,654
fire7_nb0_rank0681,202,201,-1,434
fire7_nb0_rank0682,198,197,-1,568
fire7_nb0_rank0683,178,177,-1,568
fire7_nb0_rank0684,164,163,-1,422
fire7_nb0_rank0685,255,254,-1,595
fire7_nb0_rank0686,248,247,-1,403
fire7_nb0_rank0687,230,229,-1,428
fire7_nb0_rank0688,230,229,-1,428
fire7_nb0_rank0689,196,195,-1,450
fire7_nb0_rank0690,218,217,-1,478
fire7_nb0_rank0691,209,208,-1,431
fire7_nb0_rank0692,188,187,-1,385
fire7_nb0_rank0693,306,305,-1,592
fire7_nb0_rank0694,177,176,-1,441
fire7_nb0_rank0695,168,167,-1,332
fire7_nb0_rank0696,235,234,-1,591
fire7_nb0_rank0697,197,196,-1,462
fire7_nb0_rank0698,188,187,-1,439
fire7_nb0_rank0699,235,234,-1,569
fire7_nb0_rank0700,204,203,-1,415
fire7_nb0_rank0701,187,186,-1,357
fire7_nb0_rank0702,267,266,-1,515
fire7_nb0_rank0703,154,153,-1,364
fire7_nb0_rank0704,199,198,-1,494
fire7_nb0_rank0705,234,233,-1,590
fire7_nb0_rank0706,204,203,-1,409
fire7_nb0_rank0707,217,216,-1,382
fire7_nb0_rank0708,186,185,-1,384
fire7_nb0_rank0709,232,231,-1,489
fire7_nb0_rank0710,162,161,-1,336
fire7_nb0_rank0711,226,225,-1,541
fire7_nb0_rank0712,169,168,-1,476
fire7_nb0_rank0713,244,243,-1,590
fire7_nb0_rank0714,181,180,-1,274
fire7_nb0_rank0715,215,214,-1,533
fire7_nb0_rank0716,167,166,-1,427
fire7_nb0_rank0717,149,148,-1,338
fire7_nb0_rank0718,277,276,-1,575
fire7_nb0_rank0719,179,178,-1,391
fire7_nb0_rank0720,195,194,-1,410
fire7_nb0_rank0721,152,151,-1,452
fire7_nb0_rank0722,149,148,-1,326
fire7_nb0_rank0723,181,180,-1,384
fire7_nb0_rank0724,236,235,-1,655
fire7_nb0_rank0725,152,151,-1,380
fire7_nb0_rank0726,149,148,-1,326
fire7_nb0_rank0727,188,187,-1,466
fire7_nb0_rank0728,155,154,-1,383
fire7_nb0_rank0729,169,168,-1,380
fire7_nb0_rank0730,186,185,-1,422
fire7_nb0_rank0731,144,143,-1,326
fire7_nb0_rank0732,188,187,-1,351
fire7_nb0_rank0733,158,157,-1,331
fire7_nb0_rank0734,183,182,-1,408
fire7_nb0_rank0735,225,224,-1,529
fire7_nb0_rank0736,205,204,-1,404
fire7_nb0_rank0737,251,250,-1,674
fire7_nb0_rank0738,152,151,-1,376
fire7_nb0_rank0739,185,184,-1,413
fire7_nb0_rank0740,166,165,-1,373
fire7_nb0_rank0741,169,168,-1,443
fire7_nb0_rank0742,180,179,-1,373
fire7_nb0_rank0743,321,320,-1,527
fire7_nb0_rank0744,294,293,-1,585
fire7_nb0_rank0745,301,300,-1,604
fire7_nb0_rank0746,205,204,-1,406
fire7_nb0_rank0747,203,202,-1,495
fire7_nb0_rank0748,205,204,-1,406
fire7_nb0_rank0749,205,204,-1,406
fire7_nb0_rank0750,250,249,-1,673
fire7_nb0_rank0751,244,243,-1,465
fire7_nb0_rank0752,201,200,-1,493
fire7_nb0_rank0753,213,212,-1,511
fire7_nb0_rank0754,178,177,-1,334
fire7_nb0_rank0755,148,147,-1,377
fire7_nb0_rank0756,202,201,-1,479
fire7_nb0_rank0757,180,179,-1,345
fire7_nb0_rank0758,170,169,-1,289
fire7_nb0_rank0759,165,164,-1,432
fire7_nb0_rank0760,180,179,-1,345
fire7_nb0_rank0761,204,203,-1,481
fire7_nb0_rank0762,188,187,-1,402
fire7_nb0_rank0763,158,157,-1,322
fire7_nb0_rank0764,202,201,-1,510
fire7_nb0_rank0765,187,186,-1,349
fire7_nb0_rank0766,196,195,-1,405
fire7_nb0_rank0767,203,202,-1,495
fire7_nb0_rank0768,185,184,-1,486
fire7_nb0_rank0769,170,169,-1,372
fire7_nb0_rank0770,233,232,-1,464
fire7_nb0_rank0771,202,201,-1,431
fire7_nb0_rank0772,138,137,-1,323
fire7_nb0_rank0773,183,182,-1,444
fire7_nb0_rank0774,197,196,-1,483
fire7_nb0_rank0775,155,154,-1,311
fire7_nb0_rank0776,338,337,-1,624
fire7_nb0_rank0777,213,212,-1,397
fire7_nb0_rank0778,227,226,-1,591
fire7_nb0_rank0779,167,166,-1,390
fire7_nb0_rank0780,216,215,-1,545
fire7_nb0_rank0781,164,163,-1,405
fire7_nb0_rank0782,164,163,-1,405
fire7_nb0_rank0783,232,231,-1,566
fire7_nb0_rank0784,221,220,-1,609
fire7_nb0_rank0785,162,161,-1,367
fire7_nb0_rank0786,232,231,-1,566
fire7_nb0_rank0787,162,161,-1,413
fire7_nb0_rank0788,159,158,-1,407
fire7_nb0_rank0789,159,158,-1,407
fire7_nb0_rank0790,195,194,-1,508
fire7_nb0_rank0791,153,152,-1,447
fire7_nb0_rank0792,151,150,-1,345
fire7_nb0_rank0793,179,178,-1,392
fire7_nb0_rank0794,141,140,-1,330
fire7_nb0_rank0795,199,198,-1,514
fire7_nb0_rank0796,150,149,-1,461
fire7_nb0_rank0797,207,206,-1,405
fire7_nb0_rank0798,190,189,-1,470
fire7_nb0_rank0799,180,179,-1,423
fire7_nb0_rank0800,258,257,-1,482
fire7_nb0_rank0801,129,128,-1,287
fire7_nb0_rank0802,153,152,-1,319
fire7_nb0_rank0803,155,154,-1,361
fire7_nb0_rank0804,134,133,-1,289
fire7_nb0_rank0805,177,176,-1,436
fire7_nb0_rank0806,185,184,-1,435
fire7_nb0_rank0807,152,151,-1,269
fire7_nb0_rank0808,197,196,-1,389
fire7_nb0_rank0809,198,197,-1,499
fire7_nb0_rank0810,189,188,-1,404
fire7_nb0_rank0811,188,187,-1,406
fire7_nb0_rank0812,161,160,-1,377
fire7_nb0_rank0813,208,207,-1,460
fire7_nb0_rank0814,222,221,-1,608
fire7_nb0_rank0815,251,250,-1,301
fire7_nb0_rank0816,137,136,-1,328
fire7_nb0_rank0817,233,232,-1,704
fire7_nb0_rank0818,183,182,-1,457
fire7_nb0_rank0819,207,206,-1,585
fire7_nb0_rank0820,166,165,-1,389
fire7_nb0_rank0821,222,221,-1,608
fire7_nb0_rank0822,184,183,-1,432
fire7_nb0_rank0823,203,202,-1,429
fire7_nb0_rank0824,171,170,-1,332
fire7_nb0_rank0825,129,128,-1,243
fire7_nb0_rank0826,149,148,-1,349
fire7_nb0_rank0827,142,141,-1,313
fire7_nb0_rank0828,204,203,-1,392
fire7_nb0_rank0829,161,160,-1,403
fire7_nb0_rank0830,192,191,-1,427
fire7_nb0_rank0831,213,212,-1,394
fire7_nb0_rank0832,200,199,-1,512
fire7_nb0_rank0833,207,206,-1,585
fire7_nb0_rank0834,161,160,-1,418
fire7_nb0_rank0835,184,183,-1,440
fire7_nb0_rank0836,169,168,-1,395
fire7_nb0_rank0837,158,157,-1,328
fire7_nb0_rank0838,178,177,-1,398
fire7_nb0_rank0839,218,217,-1,408
fire7_nb0_rank0840,152,151,-1,275
fire7_nb0_rank0841,151,150,-1,376
fire7_nb0_rank0842,198,197,-1,404
fire7_nb0_rank0843,179,178,-1,313
fire7_nb0_rank0844,167,166,-1,371
fire7_nb0_rank0845,227,226,-1,563
fire7_nb0_rank0846,177,176,-1,427
fire7_nb0_rank0847,158,157,-1,412
fire7_nb0_rank0848,160,159,-1,389
fire7_nb0_rank0849,228,227,-1,429
fire7_nb0_rank0850,203,202,-1,427
fire7_nb0_rank0851,199,198,-1,474
fire7_nb0_rank0852,315,314,-1,602
fire7_nb0_rank0853,166,165,-1,326
fire7_nb0_rank0854,139,138,-1,410
fire7_nb0_rank0855,186,185,-1,317
fire7_nb0_rank0856,156,155,-1,272
fire7_nb0_rank0857,170,169,-1,389
fire7_nb0_rank0858,132,131,-1,309
fire7_nb0_rank0859,120,119,-1,216
fire7_nb0_rank0860,152,151,-1,390
fire7_nb0_rank0861,162,161,-1,414
fire7_nb0_rank0862,227,226,-1,523
fire7_nb0_rank0863,138,137,-1,346
fire7_nb0_rank0864,229,228,-1,346
fire7_nb0_rank0865,193,192,-1,394
fire7_nb0_rank0866,173,172,-1,375
fire7_nb0_rank0867,203,202,-1,424
fire7_nb0_rank0868,167,166,-1,321
fire7_nb0_rank0869,194,193,-1,453
fire7_nb0_rank0870,144,143,-1,387
fire7_nb0_rank0871,194,193,-1,465
fire7_nb0_rank0872,169,168,-1,411
fire7_nb0_rank0873,137,136,-1,325
fire7_nb0_rank0874,183,182,-1,387
fire7_nb0_rank0875,173,172,-1,440
fire7_nb0_rank0876,183,182,-1,387
fire7_nb0_rank0877,173,172,-1,237
fire7_nb0_rank0878,149,148,-1,284
fire7_nb0_rank0879,149,148,-1,284
fire7_nb0_rank0880,153,152,-1,378
fire7_nb0_rank0881,156,155,-1,398
fire7_nb0_rank0882,231,230,-1,555
fire7_nb0_rank0883,155,154,-1,261
fire7_nb0_rank0884,206,205,-1,385
fire7_nb0_rank0885,145,144,-1,308
fire7_nb0_rank0886,188,187,-1,396
fire7_nb0_rank0887,186,185,-1,445
fire7_nb0_rank0888,190,189,-1,389
fire7_nb0_rank0889,189,188,-1,385
fire7_nb0_rank0890,159,158,-1,322
fire7_nb0_rank0891,146,145,-1,301
fire7_nb0_rank0892,163,162,-1,380
fire7_nb0_rank0893,161,160,-1,413
fire7_nb0_rank0894,193,192,-1,394
fire7_nb0_rank0895,154,153,-1,376
fire7_nb0_rank0896,136,135,-1,163
fire7_nb0_rank0897,135,134,-1,163
fire7_nb0_rank0898,185,184,-1,391
fire7_nb0_rank0899,207,206,-1,447
fire7_nb0_rank0900,149,148,-1,406
fire7_nb0_rank0901,145,144,-1,308
fire7_nb0_rank0902,188,187,-1,396
fire7_nb0_rank0903,175,174,-1,307
fire7_nb0_rank0904,188,187,-1,396
fire7_nb0_rank0905,174,173,-1,396
fire7_nb0_rank0906,196,195,-1,408
fire7_nb0_rank0907,188,187,-1,390
fire7_nb0_rank0908,176,175,-1,407
fire7_nb0_rank0909,153,152,-1,268
fire7_nb0_rank0910,235,234,-1,287
fire7_nb0_rank0911,235,234,-1,287
fire7_nb0_rank0912,147,146,-1,393
fire7_nb0_rank0913,166,165,-1,314
fire7_nb0_rank0914,144,143,-1,284
fire7_nb0_rank0915,164,163,-1,295
fire7_nb0_rank0916,194,193,-1,441
fire7_nb0_rank0917,245,244,-1,507
fire7_nb0_rank0918,164,163,-1,295
fire7_nb0_rank0919,249,248,-1,539
fire7_nb0_rank0920,158,157,-1,408
fire7_nb0_rank0921,133,132,-1,236
fire7_nb0_rank0922,160,159,-1,362
fire7_nb0_rank0923,174,173,-1,405
fire7_nb0_rank0924,180,179,-1,441
fire7_nb0_rank0925,144,143,-1,326
fire7_nb0_rank0926,140,139,-1,282
fire7_nb0_rank0927,140,139,-1,282
fire7_nb0_rank0928,172,171,-1,383
fire7_nb0_rank0929,170,169,-1,440
fire7_nb0_rank0930,200,199,-1,478
fire7_nb0_rank0931,168,167,-1,376
fire7_nb0_rank0932,164,163,-1,300
fire7_nb0_rank0933,164,163,-1,295
fire7_nb0_rank0934,183,182,-1,382
fire7_nb0_rank0935,140,139,-1,278
fire7_nb0_rank0936,189,188,-1,459
fire7_nb0_rank0937,140,139,-1,294
fire7_nb0_rank0938,231,230,-1,368
fire7_nb0_rank0939,160,159,-1,373
fire7_nb0_rank0940,128,127,-1,291
fire7_nb0_rank0941,180,179,-1,437
fire7_nb0_rank0942,158,157,-1,419
fire7_nb0_rank0943,196,195,-1,443
fire7_nb0_rank0944,205,204,-1,526
fire7_nb0_rank0945,137,136,-1,302
fire7_nb0_rank0946,194,193,-1,533
fire7_nb0_rank0947,118,117,-1,224
fire7_nb0_rank0948,182,181,-1,362
fire7_nb0_rank0949,190,189,-1,397
fire7_nb0_rank0950,134,133,-1,324
fire7_nb0_rank0951,230,229,-1,379
fire7_nb0_rank0952,163,162,-1,421
fire7_nb0_rank0953,178,177,-1,358
fire7_nb0_rank0954,145,144,-1,362
fire7_nb0_rank0955,195,194,-1,526
fire7_nb0_rank0956,210,209,-1,429
fire7_nb0_rank0957,170,169,-1,422
fire7_nb0_rank0958,129,128,-1,222
fire7_nb0_rank0959,142,141,-1,322
fire7_nb0_rank0960,195,194,-1,528
fire7_nb0_rank0961,135,134,-1,162
fire7_nb0_rank0962,185,184,-1,412
fire7_nb0_rank0963,202,201,-1,431
fire7_nb0_rank0964,202,201,-1,431
fire7_nb0_rank0965,160,159,-1,374
fire7_nb0_rank0966,128,127,-1,322
fire7_nb0_rank0967,171,170,-1,441
fire7_nb0_rank0968,200,199,-1,336
fire7_nb0_rank0969,161,160,-1,356
fire7_nb0_rank0970,154,153,-1,311
fire7_nb0_rank0971,199,198,-1,448
fire7_nb0_rank0972,156,155,-1,350
fire7_nb0_rank0973,126,125,-1,288
fire7_nb0_rank0974,201,200,-1,371
fire7_nb0_rank0975,200,199,-1,336
fire7_nb0_rank0976,148,147,-1,306
fire7_nb0_rank0977,166,165,-1,421
fire7_nb0_rank0978,142,141,-1,365
fire7_nb0_rank0979,127,126,-1,244
fire7_nb0_rank0980,216,215,-1,393
fire7_nb0_rank0981,273,272,-1,562
fire7_nb0_rank0982,170,169,-1,429
fire7_nb0_rank0983,158,157,-1,414
fire7_nb0_rank0984,130,129,-1,310
fire7_nb0_rank0985,137,136,-1,274
fire7_nb0_rank0986,148,147,-1,251
fire7_nb0_rank0987,139,138,-1,301
fire7_nb0_rank0988,172,171,-1,369
fire7_nb0_rank0989,125,124,-1,305
fire7_nb0_rank0990,203,202,-1,429
fire7_nb0_rank0991,215,214,-1,374
fire7_nb0_rank0992,152,151,-1,342
fire7_nb0_rank0993,180,179,-1,305
fire7_nb0_rank0994,135,134,-1,299
fire7_nb0_rank0995,187,186,-1,369
fire7_nb0_rank0996,135,134,-1,299
fire7_nb0_rank0997,168,167,-1,264
fire7_nb0_rank0998,159,158,-1,264
fire7_nb0_rank0999,171,170,-1,403
fire7_nb0_rank1000,131,130,-1,331
fire7_nb0_rank1001,150,149,-1,345
fire7_nb0_rank1002,212,211,-1,445
fire7_nb0_rank1003,146,145,-1,352
fire7_nb0_rank1004,114,113,-1,213
fire7_nb0_rank1005,157,156,-1,288
fire7_nb0_rank1006,137,136,-1,299
fire7_nb0_rank1007,127,126,-1,205
fire7_nb0_rank1008,228,227,-1,458
fire7_nb0_rank1009,140,139,-1,305
fire7_nb0_rank1010,131,130,-1,296
fire7_nb0_rank1011,122,121,-1,244
fire7_nb0_rank1012,141,140,-1,370
fire7_nb0_rank1013,135,134,-1,263
fire7_nb0_rank1014,120,119,-1,282
fire7_nb0_rank1015,173,172,-1,402
fire7_nb0_rank1016,127,126,-1,341
fire7_nb0_rank1017,156,155,-1,310
fire7_nb0_rank1018,152,151,-1,307
fire7_nb0_rank1019,127,126,-1,198
fire7_nb0_rank1020,157,156,-1,288
fire7_nb0_rank1021,128,127,-1,295
fire7_nb0_rank1022,141,140,-1,282
fire7_nb0_rank1023,154,153,-1,408
fire7_nb0_rank1024,212,211,-1,445
fire7_nb0_rank1025,114,113,-1,220
fire7_nb0_rank1026,140,139,-1,305
fire7_nb0_rank1027,150,149,-1,305
fire7_nb0_rank1028,150,149,-1,398
fire7_nb0_rank1029,115,114,-1,283
fire7_nb0_rank1030,197,196,-1,436
fire7_nb0_rank1031,150,149,-1,284
fire7_nb0_rank1032,123,122,-1,271
fire7_nb0_rank1033,144,143,-1,240
fire7_nb0_rank1034,175,174,-1,259
fire7_nb0_rank1035,126,125,-1,299
fire7_nb0_rank1036,113,112,-1,206
fire7_nb0_rank1037,139,138,-1,165
fire7_nb0_rank1038,143,142,-1,341
fire7_nb0_rank1039,229,228,-1,467
fire7_nb0_rank1040,185,184,-1,429
fire7_nb0_rank1041,156,155,-1,317
fire7_nb0_rank1042,133,132,-1,261
fire7_nb0_rank1043,120,119,-1,277
fire7_nb0_rank1044,138,137,-1,309
fire7_nb0_rank1045,133,132,-1,261
fire7_nb0_rank1046,149,148,-1,399
fire7_nb0_rank1047,125,124,-1,206
fire7_nb0_rank1048,142,141,-1,329
fire7_nb0_rank1049,229,228,-1,467
fire7_nb0_rank1050,157,156,-1,346
fire7_nb0_rank1051,140,139,-1,295
fire7_nb0_rank1052,144,143,-1,247
fire7_nb0_rank1053,151,150,-1,401
fire7_nb0_rank1054,118,117,-1,235
fire7_nb0_rank1055,112,111,-1,235
fire7_nb0_rank1056,129,128,-1,298
fire7_nb0_rank1057,124,123,-1,243
fire7_nb0_rank1058,129,128,-1,243
fire7_nb0_rank1059,156,155,-1,315
fire7_nb0_rank1060,216,215,-1,393
fire7_nb0_rank1061,135,134,-1,160
fire7_nb0_rank1062,173,172,-1,411
fire7_nb0_rank1063,174,173,-1,327
fire7_nb0_rank1064,120,119,-1,248
fire7_nb0_rank1065,165,164,-1,374
fire7_nb0_rank1066,120,119,-1,248
fire7_nb0_rank1067,247,246,-1,462
fire7_nb0_rank1068,143,142,-1,332
fire7_nb0_rank1069,131,130,-1,317
fire7_nb0_rank1070,160,159,-1,416
fire7_nb0_rank1071,149,148,-1,322
fire7_nb0_rank1072,147,146,-1,343
fire7_nb0_rank1073,196,195,-1,475
fire7_nb0_rank1074,111,110,-1,248
fire7_nb0_rank1075,146,145,-1,334
fire7_nb0_rank1076,133,132,-1,321
fire7_nb0_rank1077,162,161,-1,418
fire7_nb0_rank1078,149,148,-1,345
fire7_nb0_rank1079,166,165,-1,342
fire7_nb0_rank1080,178,177,-1,487
fire7_nb0_rank1081,123,122,-1,220
fire7_nb0_rank1082,152,151,-1,360
fire7_nb0_rank1083,142,141,-1,304
fire7_nb0_rank1084,141,140,-1,329
fire7_nb0_rank1085,132,131,-1,304
fire7_nb0_rank1086,159,158,-1,394
fire7_nb0_rank1087,120,119,-1,287
fire7_nb0_rank1088,134,133,-1,321
fire7_nb0_rank1089,131,130,-1,319
fire7_nb0_rank1090,148,147,-1,341
fire7_nb0_rank1091,169,168,-1,406
fire7_nb0_rank1092,189,188,-1,473
fire7_nb0_rank1093,102,101,-1,237
fire7_nb0_rank1094,147,146,-1,334
fire7_nb0_rank1095,158,157,-1,337
fire7_nb0_rank1096,129,128,-1,294
fire7_nb0_rank1097,120,119,-1,260
fire7_nb0_rank1098,159,158,-1,318
fire7_nb0_rank1099,158,157,-1,401
fire7_nb0_rank1100,154,153,-1,249
fire7_nb0_rank1101,135,134,-1,249
fire7_nb0_rank1102,138,137,-1,288
fire7_nb0_rank1103,116,115,-1,224
fire7_nb0_rank1104,110,109,-1,240
fire7_nb0_rank1105,107,106,-1,240
fire7_nb0_rank1106,110,109,-1,240
fire7_nb0_rank1107,173,172,-1,388
fire7_nb0_rank1108,154,153,-1,398
fire7_nb0_rank1109,123,122,-1,220
fire7_nb0_rank1110,131,130,-1,154
fire7_nb0_rank1111,118,117,-1,239
fire7_nb0_rank1112,127,126,-1,291
fire7_nb0_rank1113,111,110,-1,225
fire7_nb0_rank1114,116,115,-1,224
fire7_nb0_rank1115,116,115,-1,249
fire7_nb0_rank1116,133,132,-1,287
fire7_nb0_rank1117,116,115,-1,224
fire7_nb0_rank1118,111,110,-1,223
fire7_nb0_rank1119,118,117,-1,236
fire7_nb0_rank1120,110,109,-1,238
fire7_nb0_rank1121,127,126,-1,284
fire7_nb0_rank1122,121,120,-1,275
fire7_nb0_rank1123,127,126,-1,284
fire7_nb0_rank1124,129,128,-1,329
fire7_nb0_rank1125,133,132,-1,287
fire7_nb0_rank1126,122,121,-1,280
fire7_nb0_rank1127,162,161,-1,291
fire7_nb0_rank1128,178,177,-1,302
fire7_nb0_rank1129,139,138,-1,324
fire7_nb0_rank1130,129,128,-1,286
fire7_nb0_rank1131,136,135,-1,280
fire7_nb0_rank1132,122,121,-1,280
fire7_nb0_rank1133,160,159,-1,345
fire7_nb0_rank1134,133,132,-1,287
fire7_nb0_rank1135,141,140,-1,332
fire7_nb0_rank1136,114,113,-1,270
fire7_nb0_rank1137,108,107,-1,219
fire7_nb0_rank1138,165,164,-1,354
fire7_nb0_rank1139,153,152,-1,331
fire7_nb0_rank1140,149,148,-1,320
fire7_nb0_rank1141,116,115,-1,272
fire7_nb0_rank1142,102,101,-1,234
fire7_nb0_rank1143,121,120,-1,291
fire7_nb0_rank1144,160,159,-1,414
fire7_nb0_rank1145,133,132,-1,284
fire7_nb0_rank1146,132,131,-1,225
fire7_nb0_rank1147,129,128,-1,233
fire7_nb0_rank1148,111,110,-1,225
fire7_nb0_rank1149,159,158,-1,413
fire7_nb0_rank1150,105,104,-1,215
fire7_nb0_rank1151,152,151,-1,291
fire7_nb0_rank1152,144,143,-1,338
fire7_nb0_rank1153,131,130,-1,275
fire7_nb0_rank1154,158,157,-1,292
fire7_nb0_rank1155,131,130,-1,277
fire7_nb0_rank1156,104,103,-1,263
fire7_nb0_rank1157,113,112,-1,225
fire7_nb0_rank1158,135,134,-1,240
fire7_nb0_rank1159,118,117,-1,289
fire7_nb0_rank1160,140,139,-1,351
fire7_nb0_rank1161,110,109,-1,205
fire7_nb0_rank1162,104,103,-1,258
fire7_nb0_rank1163,157,156,-1,422
fire7_nb0_rank1164,136,135,-1,308
fire7_nb0_rank1165,149,148,-1,391
fire7_nb0_rank1166,128,127,-1,278
fire7_nb0_rank1167,121,120,-1,203
fire7_nb0_rank1168,154,153,-1,402
fire7_nb0_rank1169,109,108,-1,238
fire7_nb0_rank1170,109,108,-1,238
fire7_nb0_rank1171,108,107,-1,203
fire7_nb0_rank1172,130,129,-1,322
fire7_nb0_rank1173,109,108,-1,228
fire7_nb0_rank1174,91,90,-1,222
fire7_nb0_rank1175,91,90,-1,219
fire7_nb0_rank1176,126,125,-1,226
fire7_nb0_rank1177,105,104,-1,226
fire7_nb0_rank1178,135,134,-1,281
fire7_nb0_rank1179,111,110,-1,255
fire7_nb0_rank1180,103,102,-1,262
fire7_nb0_rank1181,121,120,-1,277
fire7_nb0_rank1182,158,157,-1,340
fire7_nb0_rank1183,158,157,-1,340
fire7_nb0_rank1184,119,118,-1,308
fire7_nb0_rank1185,108,107,-1,203
fire7_nb0_rank1186,108,107,-1,203
fire7_nb0_rank1187,142,141,-1,355
fire7_nb0_rank1188,124,123,-1,282
fire7_nb0_rank1189,118,117,-1,227
fire7_nb0_rank1190,130,129,-1,316
fire7_nb0_rank1191,135,134,-1,323
fire7_nb0_rank1192,98,97,-1,248
fire7_nb0_rank1193,160,159,-1,341
fire7_nb0_rank1194,104,103,-1,204
fire7_nb0_rank1195,127,126,-1,274
fire7_nb0_rank1196,114,113,-1,243
fire7_nb0_rank1197,104,103,-1,253
fire7_nb0_rank1198,150,149,-1,331
fire7_nb0_rank1199,116,115,-1,250
fire7_nb0_rank1200,119,118,-1,275
fire7_nb0_rank1201,133,132,-1,321
fire7_nb0_rank1202,167,166,-1,326
fire7_nb0_rank1203,139,138,-1,244
fire7_nb0_rank1204,135,134,-1,210
fire7_nb0_rank1205,170,169,-1,324
fire7_nb0_rank1206,114,113,-1,243
fire7_nb0_rank1207,110,109,-1,255
fire7_nb0_rank1208,152,151,-1,274
fire7_nb0_rank1209,111,110,-1,222
fire7_nb0_rank1210,121,120,-1,260
fire7_nb0_rank1211,123,122,-1,217
fire7_nb0_rank1212,107,106,-1,228
fire7_nb0_rank1213,130,129,-1,311
fire7_nb0_rank1214,118,117,-1,271
fire7_nb0_rank1215,197,196,-1,363
fire7_nb0_rank1216,100,99,-1,252
fire7_nb0_rank1217,129,128,-1,316
fire7_nb0_rank1218,121,120,-1,266
fire7_nb0_rank1219,108,107,-1,251
fire7_nb0_rank1220,114,113,-1,260
fire7_nb0_rank1221,108,107,-1,244
fire7_nb0_rank1222,127,126,-1,276
fire7_nb0_rank1223,121,120,-1,266
fire7_nb0_rank1224,108,107,-1,202
fire7_nb0_rank1225,110,109,-1,237
fire7_nb0_rank1226,112,111,-1,239
fire7_nb0_rank1227,110,109,-1,237
fire7_nb0_rank1228,120,119,-1,238
fire7_nb0_rank1229,115,114,-1,238
fire7_nb0_rank1230,120,119,-1,238
fire7_nb0_rank1231,115,114,-1,238
fire7_nb0_rank1232,89,88,-1,194
fire7_nb0_rank1233,97,96,-1,275
fire7_nb0_rank1234,121,120,-1,289
fire7_nb0_rank1235,120,119,-1,271
fire7_nb0_rank1236,121,120,-1,190
fire7_nb0_rank1237,121,120,-1,190
fire7_nb0_rank1238,115,114,-1,279
fire7_nb0_rank1239,121,120,-1,263
fire7_nb0_rank1240,114,113,-1,229
fire7_nb0_rank1241,145,144,-1,385
fire7_nb0_rank1242,132,131,-1,304
fire7_nb0_rank1243,107,106,-1,259
fire7_nb0_rank1244,142,141,-1,335
fire7_nb0_rank1245,159,158,-1,299
fire7_nb0_rank1246,127,126,-1,304
fire7_nb0_rank1247,119,118,-1,254
fire7_nb0_rank1248,160,159,-1,331
fire7_nb0_rank1249,139,138,-1,319
fire7_nb0_rank1250,102,101,-1,259
fire7_nb0_rank1251,167,166,-1,340
fire7_nb0_rank1252,167,166,-1,273
fire7_nb0_rank1253,132,131,-1,281
fire7_nb0_rank1254,107,106,-1,230
