case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0007,BalancedZippelSeparated,1,ok,373.632,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.296,BalancedZippelSeparated
fire7_graph5_rank0007,FireFly_default,1,ok,3198.471,80,2,,,,9223372036854775643:1;9223372036854775783:79,FireFly_default,cached_powers_Q,19,12,,
fire7_graph5_rank0007,FireFly_scan,1,ok,9775.914,157,2,,,,9223372036854775643:37;9223372036854775783:120,FireFly_default,cached_powers_Q,19,12,,
fire7_graph5_rank0007,FIRE7_Q_learned,1,ok,2918.930,122,3,2,,,18446744073709551521:3;18446744073709551533:56;18446744073709551557:63,FIRE7_native_64,cached_powers_Q,19,12,,
fire7_graph5_rank0007,Automatic,1,ok,361.972,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.475,BalancedZippel
fire7_graph5_rank0008,BalancedZippelSeparated,1,ok,503.641,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.332,BalancedZippelSeparated
fire7_graph5_rank0008,FireFly_default,1,ok,2689.299,69,2,,,,9223372036854775643:1;9223372036854775783:68,FireFly_default,cached_powers_Q,16,14,,
fire7_graph5_rank0008,FireFly_scan,1,ok,6275.001,147,2,,,,9223372036854775643:39;9223372036854775783:108,FireFly_default,cached_powers_Q,16,14,,
fire7_graph5_rank0008,FIRE7_Q_learned,1,ok,1574.905,84,3,2,,,18446744073709551521:3;18446744073709551533:39;18446744073709551557:42,FIRE7_native_64,cached_powers_Q,16,14,,
fire7_graph5_rank0008,Automatic,1,ok,256.370,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.328,BalancedZippel
