case,num_terms,den_terms,Automatic,BalancedZippelSeparated,FireFly_default,FireFly_scan,FIRE7_Q_learned
fire7_graph5_rank0511,4,3,23,23,21,42,50
fire7_graph5_rank0512,1,4,20,19,16,30,43
fire7_graph5_rank0513,5,3,22,22,21,54,48
fire7_graph5_rank0514,4,3,23,23,21,42,50
fire7_graph5_rank0515,3,3,17,17,14,33,33
fire7_graph5_rank0516,3,4,23,22,21,55,45
fire7_graph5_rank0517,3,3,18,18,17,41,34
fire7_graph5_rank0518,4,3,18,18,17,37,34
fire7_graph5_rank0519,4,3,18,18,17,37,34
fire7_graph5_rank0520,2,4,20,19,18,36,43
fire7_graph5_rank0521,3,3,18,18,17,41,34
fire7_graph5_rank0522,2,3,20,20,17,37,48
fire7_graph5_rank0523,1,4,20,19,16,30,43
fire7_graph5_rank0524,1,3,18,18,14,35,34
fire7_graph5_rank0525,2,3,17,17,14,30,33
fire7_graph5_rank0526,3,3,18,18,17,41,34
fire7_graph5_rank0527,4,3,18,18,17,37,34
fire7_graph5_rank0528,2,3,18,18,17,38,34
fire7_graph5_rank0529,4,3,18,18,17,37,34
fire7_graph5_rank0530,2,4,20,19,16,36,43
fire7_graph5_rank0531,3,3,18,18,17,41,34
fire7_graph5_rank0532,4,3,18,18,17,37,34
fire7_graph5_rank0533,3,4,21,20,18,40,46
fire7_graph5_rank0534,2,2,16,16,11,33,32
fire7_graph5_rank0535,3,3,18,18,17,41,34
fire7_graph5_rank0536,4,4,19,19,20,41,35
fire7_graph5_rank0537,2,3,18,18,17,38,34
fire7_graph5_rank0538,4,3,18,18,17,37,34
fire7_graph5_rank0539,4,3,18,18,17,37,34
fire7_graph5_rank0540,3,3,18,18,17,41,34
fire7_graph5_rank0541,3,6,23,21,22,44,49
fire7_graph5_rank0542,2,4,20,20,18,43,36
fire7_graph5_rank0543,4,3,18,18,17,37,34
fire7_graph5_rank0544,3,4,21,20,18,40,46
fire7_graph5_rank0545,3,4,21,20,20,40,46
fire7_graph5_rank0546,4,3,21,21,17,40,48
fire7_graph5_rank0547,1,4,20,19,16,30,43
fire7_graph5_rank0548,2,2,16,16,11,33,32
fire7_graph5_rank0549,2,2,18,18,13,29,40
fire7_graph5_rank0550,3,4,21,20,20,40,46
fire7_graph5_rank0551,4,3,18,18,17,37,34
fire7_graph5_rank0552,3,3,18,18,17,41,34
fire7_graph5_rank0553,3,3,18,18,17,41,34
fire7_graph5_rank0554,2,6,23,21,22,41,49
fire7_graph5_rank0555,3,4,21,20,20,40,46
fire7_graph5_rank0556,3,4,21,20,20,40,46
fire7_graph5_rank0557,5,2,24,24,23,60,62
fire7_graph5_rank0558,2,2,16,16,11,33,32
fire7_graph5_rank0559,1,3,18,18,14,35,34
fire7_graph5_rank0560,3,3,18,18,17,41,34
fire7_graph5_rank0561,3,3,18,18,17,41,34
fire7_graph5_rank0562,3,3,18,18,17,41,34
fire7_graph5_rank0563,2,4,20,20,18,43,36
fire7_graph5_rank0564,2,6,23,21,22,41,49
fire7_graph5_rank0565,1,4,20,19,16,30,43
fire7_graph5_rank0566,2,4,22,22,20,42,54
fire7_graph5_rank0567,2,3,18,18,17,38,34
fire7_graph5_rank0568,4,3,26,26,27,63,72
fire7_graph5_rank0569,1,2,15,15,7,19,31
fire7_graph5_rank0570,3,3,17,17,14,33,33
fire7_graph5_rank0571,3,3,17,17,14,33,33
fire7_graph5_rank0572,4,2,24,24,25,58,62
fire7_graph5_rank0573,4,2,21,21,19,48,45
fire7_graph5_rank0574,2,4,20,19,18,36,43
fire7_graph5_rank0575,2,4,20,19,18,36,43
fire7_graph5_rank0576,2,2,16,16,11,33,32
fire7_graph5_rank0577,2,2,16,16,11,33,32
fire7_graph5_rank0578,2,2,16,16,11,33,32
fire7_graph5_rank0579,2,2,15,15,8,25,31
fire7_graph5_rank0580,2,6,23,21,22,41,49
fire7_graph5_rank0581,2,2,20,20,13,31,44
fire7_graph5_rank0582,4,3,21,21,17,40,48
fire7_graph5_rank0583,3,3,21,21,20,55,48
fire7_graph5_rank0584,1,4,22,21,19,32,45
fire7_graph5_rank0585,3,2,19,19,17,50,42
fire7_graph5_rank0586,3,3,21,21,20,56,48
fire7_graph5_rank0587,1,4,20,19,15,30,43
fire7_graph5_rank0588,3,2,21,21,19,52,44
fire7_graph5_rank0589,4,2,19,19,15,48,42
fire7_graph5_rank0590,2,2,18,18,10,29,42
fire7_graph5_rank0591,3,2,19,19,17,50,42
fire7_graph5_rank0592,4,3,21,21,17,40,48
fire7_graph5_rank0593,2,2,20,20,13,31,44
fire7_graph5_rank0594,2,2,16,16,11,33,32
fire7_graph5_rank0595,1,4,20,19,15,30,43
fire7_graph5_rank0596,4,3,28,28,29,65,74
fire7_graph5_rank0597,3,3,17,17,14,33,33
fire7_graph5_rank0598,1,4,20,19,15,30,43
fire7_graph5_rank0599,1,1,15,15,7,19,31
fire7_graph5_rank0600,2,2,18,18,10,29,42
fire7_graph5_rank0601,3,2,16,16,11,29,32
fire7_graph5_rank0602,2,6,23,21,20,41,49
fire7_graph5_rank0603,1,3,17,17,12,27,33
fire7_graph5_rank0604,4,2,19,19,17,35,42
fire7_graph5_rank0605,4,2,19,19,15,48,42
fire7_graph5_rank0606,2,3,17,17,12,30,33
fire7_graph5_rank0607,2,6,23,21,20,41,49
fire7_graph5_rank0608,2,6,23,21,20,41,49
fire7_graph5_rank0609,4,4,21,20,20,42,43
fire7_graph5_rank0610,2,3,17,17,12,30,33
fire7_graph5_rank0611,2,2,16,16,11,33,32
fire7_graph5_rank0612,3,3,17,17,14,33,33
fire7_graph5_rank0613,4,3,21,21,17,40,48
fire7_graph5_rank0614,4,3,21,21,17,53,48
fire7_graph5_rank0615,4,4,21,20,20,59,43
fire7_graph5_rank0616,4,4,21,20,20,59,43
fire7_graph5_rank0617,2,2,18,18,10,29,42
fire7_graph5_rank0618,3,2,16,16,11,29,32
fire7_graph5_rank0619,3,3,17,17,14,33,33
fire7_graph5_rank0620,2,4,20,20,18,43,36
fire7_graph5_rank0621,2,2,18,18,10,29,42
fire7_graph5_rank0622,4,2,19,19,17,35,42
fire7_graph5_rank0623,2,2,18,18,10,29,42
fire7_graph5_rank0624,2,1,15,15,10,26,31
fire7_graph5_rank0625,3,3,21,21,17,51,48
fire7_graph5_rank0626,1,4,20,19,15,30,43
fire7_graph5_rank0627,3,3,17,17,14,33,33
fire7_graph5_rank0628,3,3,17,17,14,33,33
fire7_graph5_rank0629,2,2,17,17,12,27,37
fire7_graph5_rank0630,4,3,26,26,25,63,72
fire7_graph5_rank0631,4,4,21,20,20,42,43
fire7_graph5_rank0632,3,2,19,19,17,50,42
fire7_graph5_rank0633,4,3,26,26,25,63,72
fire7_graph5_rank0634,2,4,22,22,20,42,54
fire7_graph5_rank0635,1,3,17,17,14,27,33
fire7_graph5_rank0636,4,2,24,24,23,58,62
fire7_graph5_rank0637,2,1,15,15,10,26,31
fire7_graph5_rank0638,4,4,21,20,20,42,43
fire7_graph5_rank0639,2,3,23,23,21,55,50
fire7_graph5_rank0640,3,3,21,21,17,51,48
fire7_graph5_rank0641,1,6,23,21,20,38,49
fire7_graph5_rank0642,3,2,19,19,15,46,42
fire7_graph5_rank0643,3,2,16,16,11,29,32
fire7_graph5_rank0644,3,3,17,17,14,33,33
fire7_graph5_rank0645,1,4,20,19,16,30,43
fire7_graph5_rank0646,2,2,18,18,10,29,42
fire7_graph5_rank0647,1,3,17,17,12,27,33
fire7_graph5_rank0648,1,2,16,16,11,27,32
fire7_graph5_rank0649,3,2,21,21,19,52,44
fire7_graph5_rank0650,2,1,15,15,10,26,31
fire7_graph5_rank0651,2,2,23,23,21,52,50
fire7_graph5_rank0652,3,3,21,21,17,51,48
fire7_graph5_rank0653,2,2,18,18,13,29,40
fire7_graph5_rank0654,1,3,18,18,17,35,34
fire7_graph5_rank0655,3,2,18,18,14,38,34
fire7_graph5_rank0656,3,2,19,19,13,46,42
fire7_graph5_rank0657,3,2,19,19,15,46,42
fire7_graph5_rank0658,4,2,19,19,15,35,42
fire7_graph5_rank0659,3,2,19,19,15,46,42
fire7_graph5_rank0660,2,3,22,22,15,39,50
fire7_graph5_rank0661,4,2,19,19,15,35,42
fire7_graph5_rank0662,3,4,21,20,18,40,46
fire7_graph5_rank0663,2,2,18,18,11,29,40
fire7_graph5_rank0664,2,2,18,18,11,29,40
fire7_graph5_rank0665,3,3,17,17,14,33,33
fire7_graph5_rank0666,2,2,15,15,8,25,31
fire7_graph5_rank0667,2,2,15,15,8,25,31
fire7_graph5_rank0668,4,2,19,19,15,35,42
fire7_graph5_rank0669,4,2,21,21,19,37,44
fire7_graph5_rank0670,2,3,18,18,14,38,34
fire7_graph5_rank0671,2,4,20,19,18,36,43
fire7_graph5_rank0672,3,4,21,20,18,40,46
fire7_graph5_rank0673,3,4,21,20,18,40,46
fire7_graph5_rank0674,2,3,17,17,14,30,33
fire7_graph5_rank0675,3,4,21,20,18,40,46
fire7_graph5_rank0676,2,2,16,16,11,33,32
fire7_graph5_rank0677,2,2,15,15,8,25,31
fire7_graph5_rank0678,2,2,15,15,8,25,31
fire7_graph5_rank0679,2,2,15,15,8,25,31
fire7_graph5_rank0680,2,2,15,15,8,25,31
fire7_graph5_rank0681,2,2,15,15,8,25,31
fire7_graph5_rank0682,2,2,16,16,11,33,32
fire7_graph5_rank0683,2,2,15,15,8,25,31
fire7_graph5_rank0684,1,6,23,21,19,38,49
fire7_graph5_rank0685,2,4,21,20,18,37,44
fire7_graph5_rank0686,1,2,17,17,11,21,37
fire7_graph5_rank0687,1,2,17,17,11,21,37
fire7_graph5_rank0688,2,3,20,20,17,37,48
fire7_graph5_rank0689,2,3,22,22,15,39,50
fire7_graph5_rank0690,2,2,16,16,11,33,32
fire7_graph5_rank0691,1,2,17,17,12,28,33
fire7_graph5_rank0692,2,4,20,19,18,36,43
fire7_graph5_rank0693,3,3,17,17,14,33,33
fire7_graph5_rank0694,1,2,15,15,7,19,31
fire7_graph5_rank0695,1,3,18,18,14,35,34
fire7_graph5_rank0696,1,2,16,16,8,27,32
fire7_graph5_rank0697,2,2,16,16,11,33,32
fire7_graph5_rank0698,2,4,19,19,16,35,35
fire7_graph5_rank0699,3,2,19,19,15,46,42
fire7_graph5_rank0700,2,2,16,16,11,33,32
fire7_graph5_rank0701,2,2,15,15,8,25,31
fire7_graph5_rank0702,2,4,20,19,17,36,43
fire7_graph5_rank0703,2,4,20,19,18,36,43
fire7_graph5_rank0704,2,4,21,20,18,37,44
fire7_graph5_rank0705,2,2,16,16,11,33,32
fire7_graph5_rank0706,2,2,15,15,8,25,31
fire7_graph5_rank0707,2,4,20,19,18,36,43
fire7_graph5_rank0708,1,2,17,17,11,21,37
fire7_graph5_rank0709,1,2,15,15,7,19,31
fire7_graph5_rank0710,2,2,15,15,8,25,31
fire7_graph5_rank0711,2,2,15,15,8,25,31
fire7_graph5_rank0712,3,3,17,17,14,33,33
fire7_graph5_rank0713,3,3,17,17,14,33,33
fire7_graph5_rank0714,2,2,16,16,11,33,32
fire7_graph5_rank0715,2,2,15,15,8,25,31
fire7_graph5_rank0716,2,3,20,20,13,37,48
fire7_graph5_rank0717,4,2,19,19,15,35,42
fire7_graph5_rank0718,2,4,20,19,18,36,43
fire7_graph5_rank0719,3,2,16,16,11,29,32
fire7_graph5_rank0720,2,2,18,18,13,29,40
fire7_graph5_rank0721,2,2,15,15,8,25,31
fire7_graph5_rank0722,2,3,18,18,14,38,34
fire7_graph5_rank0723,3,2,16,16,11,29,32
fire7_graph5_rank0724,3,2,16,16,11,29,32
fire7_graph5_rank0725,2,2,16,16,11,33,32
fire7_graph5_rank0726,2,2,16,16,11,33,32
fire7_graph5_rank0727,3,2,16,16,11,29,32
fire7_graph5_rank0728,2,4,21,20,18,37,44
fire7_graph5_rank0729,3,2,16,16,11,29,32
fire7_graph5_rank0730,2,2,16,16,11,33,32
fire7_graph5_rank0731,2,2,16,16,11,33,32
fire7_graph5_rank0732,2,2,15,15,8,25,31
fire7_graph5_rank0733,2,2,15,15,8,25,31
fire7_graph5_rank0734,3,2,16,16,11,29,32
fire7_graph5_rank0735,3,2,16,16,11,29,32
fire7_graph5_rank0736,3,2,16,16,11,29,32
fire7_graph5_rank0737,3,2,16,16,11,29,32
fire7_graph5_rank0738,2,3,18,18,14,38,34
fire7_graph5_rank0739,2,2,20,20,13,31,44
fire7_graph5_rank0740,2,2,15,15,8,25,31
fire7_graph5_rank0741,2,2,16,16,11,33,32
fire7_graph5_rank0742,2,2,16,16,11,33,32
fire7_graph5_rank0743,3,2,16,16,11,29,32
fire7_graph5_rank0744,2,4,20,19,17,36,43
fire7_graph5_rank0745,2,2,16,16,11,33,32
fire7_graph5_rank0746,2,3,20,20,17,37,48
fire7_graph5_rank0747,3,2,21,21,19,52,44
fire7_graph5_rank0748,2,4,20,19,17,36,43
fire7_graph5_rank0749,2,2,16,16,11,33,32
fire7_graph5_rank0750,3,2,16,16,11,29,32
fire7_graph5_rank0751,2,3,17,17,12,30,33
fire7_graph5_rank0752,2,3,18,18,14,38,34
fire7_graph5_rank0753,2,2,15,15,8,25,31
fire7_graph5_rank0754,2,2,15,15,8,25,31
fire7_graph5_rank0755,2,2,18,18,10,29,42
fire7_graph5_rank0756,2,2,16,16,11,33,32
fire7_graph5_rank0757,2,2,16,16,11,33,32
fire7_graph5_rank0758,2,4,20,19,17,36,43
fire7_graph5_rank0759,2,4,20,19,17,36,43
fire7_graph5_rank0760,2,2,16,16,11,33,32
fire7_graph5_rank0761,2,2,16,16,11,33,32
fire7_graph5_rank0762,2,2,15,15,8,25,31
fire7_graph5_rank0763,1,2,15,15,8,19,31
fire7_graph5_rank0764,2,2,16,16,11,33,32
fire7_graph5_rank0765,2,2,16,16,11,33,32
fire7_graph5_rank0766,2,4,20,19,17,36,43
fire7_graph5_rank0767,3,2,19,19,15,46,42
fire7_graph5_rank0768,1,2,15,15,7,19,31
fire7_graph5_rank0769,2,2,17,17,12,27,37
fire7_graph5_rank0770,2,2,16,16,11,33,32
fire7_graph5_rank0771,2,2,17,17,12,34,33
fire7_graph5_rank0772,2,2,16,16,11,33,32
fire7_graph5_rank0773,2,4,22,21,20,38,45
fire7_graph5_rank0774,1,2,17,17,10,21,37
fire7_graph5_rank0775,2,2,20,20,13,31,44
fire7_graph5_rank0776,3,1,18,18,14,36,39
fire7_graph5_rank0777,2,4,20,19,17,36,43
fire7_graph5_rank0778,2,2,16,16,11,33,32
fire7_graph5_rank0779,3,2,16,16,11,29,32
fire7_graph5_rank0780,2,3,20,20,13,37,48
fire7_graph5_rank0781,2,2,20,20,13,31,44
fire7_graph5_rank0782,2,4,20,19,16,36,43
fire7_graph5_rank0783,2,2,16,16,11,33,32
fire7_graph5_rank0784,2,2,15,15,8,25,31
fire7_graph5_rank0785,2,3,20,20,13,37,48
fire7_graph5_rank0786,2,2,18,18,11,29,40
fire7_graph5_rank0787,1,1,16,16,9,20,32
fire7_graph5_rank0788,2,3,17,17,12,30,33
fire7_graph5_rank0789,1,2,17,17,11,21,37
fire7_graph5_rank0790,2,2,15,15,8,25,31
fire7_graph5_rank0791,1,2,15,15,7,19,31
fire7_graph5_rank0792,1,2,15,15,7,19,31
fire7_graph5_rank0793,2,2,17,17,12,27,37
fire7_graph5_rank0794,1,4,20,19,16,30,43
fire7_graph5_rank0795,1,1,14,14,6,18,30
fire7_graph5_rank0796,2,2,17,17,12,27,37
fire7_graph5_rank0797,2,3,17,17,12,30,33
fire7_graph5_rank0798,1,4,20,19,16,30,43
fire7_graph5_rank0799,2,2,15,15,8,25,31
fire7_graph5_rank0800,2,2,15,15,8,25,31
fire7_graph5_rank0801,1,4,20,19,16,30,43
fire7_graph5_rank0802,1,4,20,19,16,30,43
fire7_graph5_rank0803,1,2,15,15,7,19,31
fire7_graph5_rank0804,1,1,15,15,7,19,31
fire7_graph5_rank0805,1,1,14,14,6,18,30
fire7_graph5_rank0806,1,1,14,14,6,18,30
fire7_graph5_rank0807,1,1,14,14,6,18,30
fire7_graph5_rank0808,1,1,15,15,7,19,31
fire7_graph5_rank0809,1,1,16,16,9,20,32
fire7_graph5_rank0810,3,1,18,18,14,36,39
fire7_graph5_rank0811,1,1,14,14,6,18,30
fire7_graph5_rank0812,2,2,18,18,13,29,40
fire7_graph5_rank0813,1,2,17,17,11,21,37
fire7_graph5_rank0814,1,4,20,19,16,30,43
fire7_graph5_rank0815,2,2,19,19,15,44,42
fire7_graph5_rank0816,1,2,17,17,10,21,37
fire7_graph5_rank0817,2,2,15,15,8,25,31
fire7_graph5_rank0818,1,3,17,17,11,27,33
fire7_graph5_rank0819,2,2,15,15,8,25,31
fire7_graph5_rank0820,2,2,18,18,13,29,42
fire7_graph5_rank0821,1,1,14,14,6,18,30
fire7_graph5_rank0822,2,3,20,20,13,37,48
fire7_graph5_rank0823,2,3,22,22,15,39,50
fire7_graph5_rank0824,2,2,18,18,10,29,42
fire7_graph5_rank0825,2,2,15,15,8,25,31
fire7_graph5_rank0826,2,2,18,18,13,29,42
fire7_graph5_rank0827,1,1,14,14,6,18,30
fire7_graph5_rank0828,2,2,21,21,19,50,44
fire7_graph5_rank0829,2,2,15,15,8,25,31
fire7_graph5_rank0830,1,2,17,17,11,21,37
fire7_graph5_rank0831,1,4,20,19,16,30,43
fire7_graph5_rank0832,1,3,18,18,12,35,34
fire7_graph5_rank0833,2,2,18,18,14,35,34
fire7_graph5_rank0834,2,2,15,15,8,25,31
fire7_graph5_rank0835,2,2,15,15,8,25,31
fire7_graph5_rank0836,2,1,17,17,14,28,33
fire7_graph5_rank0837,1,1,14,14,6,18,30
fire7_graph5_rank0838,2,2,15,15,8,25,31
fire7_graph5_rank0839,1,1,14,14,6,18,30
fire7_graph5_rank0840,1,3,18,18,12,35,34
fire7_graph5_rank0841,2,2,20,20,13,31,44
fire7_graph5_rank0842,2,2,18,18,13,29,42
fire7_graph5_rank0843,2,1,15,15,10,26,31
fire7_graph5_rank0844,1,2,16,16,8,27,32
fire7_graph5_rank0845,2,2,16,16,11,33,32
fire7_graph5_rank0846,2,2,18,18,10,29,42
fire7_graph5_rank0847,1,1,14,14,6,18,30
fire7_graph5_rank0848,1,1,13,13,3,10,29
fire7_graph5_rank0849,1,1,14,14,6,18,30
fire7_graph5_rank0850,2,1,15,15,10,26,31
fire7_graph5_rank0851,2,2,18,18,13,29,42
fire7_graph5_rank0852,2,2,17,17,12,34,33
fire7_graph5_rank0853,2,2,18,18,13,29,42
fire7_graph5_rank0854,1,1,15,15,7,19,31
fire7_graph5_rank0855,2,1,14,14,6,18,30
fire7_graph5_rank0856,2,1,17,17,14,28,33
fire7_graph5_rank0857,1,1,14,14,6,18,30
fire7_graph5_rank0858,1,1,14,14,6,18,30
fire7_graph5_rank0859,2,2,17,17,12,34,33
fire7_graph5_rank0860,2,2,21,21,19,50,44
fire7_graph5_rank0861,1,1,13,13,3,10,29
fire7_graph5_rank0862,2,2,16,16,11,33,32
fire7_graph5_rank0863,2,1,20,20,18,39,41
fire7_graph5_rank0864,1,1,14,14,6,18,30
fire7_graph5_rank0865,1,1,14,14,6,18,30
fire7_graph5_rank0866,2,2,17,17,12,27,37
fire7_graph5_rank0867,1,1,13,13,3,10,29
fire7_graph5_rank0868,1,1,13,13,3,10,29
fire7_graph5_rank0869,1,3,17,17,11,27,33
fire7_graph5_rank0870,1,2,15,15,7,19,31
fire7_graph5_rank0871,2,1,16,16,10,20,36
fire7_graph5_rank0872,1,1,14,14,6,18,30
fire7_graph5_rank0873,2,2,18,18,11,29,40
fire7_graph5_rank0874,2,2,15,15,8,25,31
fire7_graph5_rank0875,1,2,16,16,8,27,32
fire7_graph5_rank0876,2,1,16,16,8,27,32
fire7_graph5_rank0877,2,1,15,15,10,26,31
fire7_graph5_rank0878,2,2,18,18,10,29,42
fire7_graph5_rank0879,2,2,18,18,10,29,42
fire7_graph5_rank0880,2,1,15,15,10,26,31
fire7_graph5_rank0881,2,2,18,18,10,29,42
fire7_graph5_rank0882,1,2,16,16,8,27,32
fire7_graph5_rank0883,1,2,16,16,8,27,32
fire7_graph5_rank0884,1,2,16,16,8,27,32
fire7_graph5_rank0885,2,1,16,16,8,27,32
fire7_graph5_rank0886,2,1,14,14,6,18,30
fire7_graph5_rank0887,1,2,17,17,11,21,37
fire7_graph5_rank0888,1,1,13,13,3,10,29
fire7_graph5_rank0889,2,2,18,18,10,29,42
fire7_graph5_rank0890,2,1,14,14,6,18,30
fire7_graph5_rank0891,2,2,15,15,8,25,31
fire7_graph5_rank0892,2,1,16,16,9,20,36
fire7_graph5_rank0893,2,1,14,14,6,18,30
fire7_graph5_rank0894,2,1,16,16,8,27,32
fire7_graph5_rank0895,2,1,14,14,6,18,30
fire7_graph5_rank0896,2,2,15,15,8,25,31
fire7_graph5_rank0897,1,2,15,15,7,19,31
fire7_graph5_rank0898,1,2,16,16,8,27,32
fire7_graph5_rank0899,1,2,17,17,11,28,33
fire7_graph5_rank0900,1,1,16,16,9,20,32
fire7_graph5_rank0901,2,1,14,14,6,18,30
fire7_graph5_rank0902,1,2,16,16,8,27,32
fire7_graph5_rank0903,1,2,15,15,7,19,31
fire7_graph5_rank0904,1,1,15,15,7,19,31
fire7_graph5_rank0905,1,2,17,17,11,28,33
fire7_graph5_rank0906,1,1,14,14,6,18,30
fire7_graph5_rank0907,1,1,14,14,6,18,30
fire7_graph5_rank0908,1,1,14,14,6,18,30
fire7_graph5_rank0909,2,2,15,15,8,25,31
fire7_graph5_rank0910,1,1,14,14,6,18,30
fire7_graph5_rank0911,1,1,14,14,6,18,30
fire7_graph5_rank0912,2,1,14,14,6,18,30
fire7_graph5_rank0913,2,1,14,14,6,18,30
fire7_graph5_rank0914,1,2,15,15,7,19,31
fire7_graph5_rank0915,1,1,14,14,6,18,30
fire7_graph5_rank0916,1,2,15,15,7,19,31
fire7_graph5_rank0917,1,1,13,13,3,10,29
fire7_graph5_rank0918,1,1,15,15,7,19,31
fire7_graph5_rank0919,1,2,15,15,7,19,31
fire7_graph5_rank0920,1,1,13,13,3,10,29
fire7_graph5_rank0921,1,2,16,16,8,27,32
fire7_graph5_rank0922,1,1,15,15,7,19,31
fire7_graph5_rank0923,2,1,14,14,6,18,30
fire7_graph5_rank0924,2,1,14,14,6,18,30
fire7_graph5_rank0925,1,1,14,14,6,18,30
fire7_graph5_rank0926,1,1,13,13,3,10,29
fire7_graph5_rank0927,1,1,14,14,6,18,30
fire7_graph5_rank0928,1,2,15,15,7,19,31
fire7_graph5_rank0929,1,2,15,15,7,19,31
fire7_graph5_rank0930,1,2,15,15,7,19,31
fire7_graph5_rank0931,1,2,16,16,8,27,32
fire7_graph5_rank0932,2,1,14,14,6,18,30
fire7_graph5_rank0933,1,1,13,13,3,10,29
fire7_graph5_rank0934,1,1,13,13,3,10,29
fire7_graph5_rank0935,1,1,14,14,6,18,30
fire7_graph5_rank0936,1,1,14,14,6,18,30
fire7_graph5_rank0937,1,1,14,14,6,18,30
fire7_graph5_rank0938,1,1,13,13,3,10,29
fire7_graph5_rank0939,1,1,13,13,3,10,29
fire7_graph5_rank0940,1,1,13,13,3,10,29
fire7_graph5_rank0941,1,1,14,14,6,18,30
fire7_graph5_rank0942,1,1,13,13,3,10,29
fire7_graph5_rank0943,1,1,13,13,3,10,29
fire7_graph5_rank0944,1,1,13,13,3,10,29
fire7_graph5_rank0945,1,1,13,13,3,10,29
