case,method,seed,status,elapsed_us,probes,prime,oracle,degree_race,num_terms,den_terms,setup_ms
coeff_prop_4l,BalancedZippel,1,ok,1105364.284,12822,9223372036854775783,cached_powers,0,6671,6051,66.703
coeff_prop_4l,BalancedZippel,2,ok,1089410.969,12822,9223372036854775783,cached_powers,0,6671,6051,74.455
coeff_prop_4l,BalancedZippel,3,ok,1101237.787,12822,9223372036854775783,cached_powers,0,6671,6051,78.334
aajamp,BalancedZippel,1,ok,30590424.298,73156,9223372036854775783,cached_powers,0,23260,7231,3874.684
aajamp,BalancedZippel,2,ok,30413390.619,73156,9223372036854775783,cached_powers,0,23260,7231,3650.454
aajamp,BalancedZippel,3,ok,30413132.134,73156,9223372036854775783,cached_powers,0,23260,7231,3892.109
