family,method,seed,status,elapsed_us,probes,scalar_requests,cache_hits,outputs,completed,incremental_probes
tth2l_b25_all,FireFly_joint_scan,1,ok,259317553.527,16107,,,147,147,
tth2l_b25_all,Symbolica_joint_cache,1,ok,203033157.824,18491,165174,146683,147,147,361;691;39;21;10;22;10;3;7;22;32;3;12;31;33;24;5;3;0;0;3;0;5;6;3;3;2;77;61;9;0;0;62;5;16;0;2;0;0;0;0;0;0;15;15;525;18;3;0;0;0;8;0;0;171;197;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;1;303;25;0;8;76;5;0;877;1466;0;66;180;384;167;0;0;0;0;0;0;1;7;0;0;3;36;10;0;0;0;0;9;5;113;0;0;0;0;2;32;176;45;0;19;0;0;19;92;161;118;175;1328;1415;209;174;232;101;0;0;0;0;0;1;114;88;0;0;0;0;60;105;0;7293;0;247
