case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
ibp_tth2l_b25_rank0001,Automatic,1,ok,2676591.681,14242,55,54,53,0,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:270;2305843009213694149:270;2305843009213694173:270;2305843009213694207:270;2305843009213694257:270;2305843009213694317:270;2305843009213694323:270;2305843009213694381:270;2305843009213694411:270;2305843009213694429:270;2305843009213694443:270;2305843009213694491:270;2305843009213694497:270;2305843009213694569:270;2305843009213694597:270;2305843009213694683:270;2305843009213694791:269;2305843009213694837:269;2305843009213694851:268;2305843009213694887:268;2305843009213694917:267;2305843009213694963:266;2305843009213695001:266;2305843009213695011:265;2305843009213695023:264;2305843009213695113:263;2305843009213695187:262;2305843009213695191:261;2305843009213695209:260;2305843009213695257:258;2305843009213695349:255;2305843009213695361:244;2305843009213695397:237;2305843009213695431:237;2305843009213695437:230;2305843009213695509:230;2305843009213695529:223;2305843009213695547:223;2305843009213695551:216;2305843009213695563:209;2305843009213695577:208;2305843009213695673:201;2305843009213695701:194;2305843009213695793:186;2305843009213695803:175;2305843009213695829:167;2305843009213695869:160;2305843009213695871:151;2305843009213695901:135;2305843009213695937:53;2305843009213695997:3,Symbolica_default,cached_powers_Q,297,272,12.817,BalancedZippel,1
ibp_tth2l_b25_rank0002,Automatic,1,ok,892093.710,6027,46,45,44,0,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:136;2305843009213694149:136;2305843009213694173:136;2305843009213694207:136;2305843009213694257:136;2305843009213694317:136;2305843009213694323:136;2305843009213694381:136;2305843009213694411:136;2305843009213694429:136;2305843009213694443:136;2305843009213694491:136;2305843009213694497:136;2305843009213694569:136;2305843009213694597:136;2305843009213694683:135;2305843009213694791:135;2305843009213694837:134;2305843009213694851:133;2305843009213694887:133;2305843009213694917:132;2305843009213694963:131;2305843009213695001:130;2305843009213695011:128;2305843009213695023:127;2305843009213695113:124;2305843009213695187:114;2305843009213695191:110;2305843009213695209:110;2305843009213695257:110;2305843009213695349:106;2305843009213695361:102;2305843009213695397:101;2305843009213695431:95;2305843009213695437:91;2305843009213695509:86;2305843009213695529:82;2305843009213695547:78;2305843009213695551:74;2305843009213695563:65;2305843009213695577:42;2305843009213695673:3,Symbolica_default,cached_powers_Q,156,135,4.228,BalancedZippel,1
ibp_tth2l_b25_rank0003,Automatic,1,ok,85972.492,1727,23,22,21,0,2305843009213693967:144;2305843009213693973:136;2305843009213694009:136;2305843009213694017:136;2305843009213694087:71;2305843009213694149:71;2305843009213694173:71;2305843009213694207:71;2305843009213694257:71;2305843009213694317:71;2305843009213694323:71;2305843009213694381:71;2305843009213694411:71;2305843009213694429:71;2305843009213694443:70;2305843009213694491:69;2305843009213694497:67;2305843009213694569:67;2305843009213694597:56;2305843009213694683:50;2305843009213694791:45;2305843009213694837:38;2305843009213694851:3,Symbolica_default,cached_powers_Q,65,70,2.634,BalancedZippel,1
ibp_tth2l_b25_rank0004,Automatic,1,ok,106394.248,1778,23,22,21,0,2305843009213693967:157;2305843009213693973:149;2305843009213694009:149;2305843009213694017:149;2305843009213694087:71;2305843009213694149:71;2305843009213694173:71;2305843009213694207:71;2305843009213694257:71;2305843009213694317:71;2305843009213694323:71;2305843009213694381:71;2305843009213694411:71;2305843009213694429:71;2305843009213694443:70;2305843009213694491:69;2305843009213694497:67;2305843009213694569:67;2305843009213694597:56;2305843009213694683:50;2305843009213694791:44;2305843009213694837:38;2305843009213694851:3,Symbolica_default,cached_powers_Q,78,70,1.884,BalancedZippel,1
