family,method,seed,status,elapsed_us,probes,scalar_requests,cache_hits,outputs,completed,incremental_probes,probes_by_prime
tth2l_b25,FireFly_joint_scan,1,ok,131539909.841,16107,,,4,4,,9223372036854773867:1;9223372036854773899:87;9223372036854773953:134;9223372036854773977:149;9223372036854773999:159;9223372036854774053:166;9223372036854774173:174;9223372036854774179:182;9223372036854774199:189;9223372036854774233:196;9223372036854774247:203;9223372036854774257:208;9223372036854774277:213;9223372036854774307:217;9223372036854774319:224;9223372036854774341:224;9223372036854774413:365;9223372036854774451:365;9223372036854774499:365;9223372036854774509:365;9223372036854774511:365;9223372036854774559:365;9223372036854774571:365;9223372036854774587:365;9223372036854774629:365;9223372036854774679:365;9223372036854774713:365;9223372036854774739:365;9223372036854774797:365;9223372036854774893:365;9223372036854774917:365;9223372036854774937:365;9223372036854774959:365;9223372036854775057:365;9223372036854775073:365;9223372036854775097:365;9223372036854775139:365;9223372036854775159:365;9223372036854775181:365;9223372036854775259:365;9223372036854775279:365;9223372036854775291:365;9223372036854775337:365;9223372036854775351:365;9223372036854775399:365;9223372036854775417:365;9223372036854775421:365;9223372036854775433:365;9223372036854775507:365;9223372036854775549:365;9223372036854775643:399;9223372036854775783:572
tth2l_b25,Symbolica_joint_cache,1,ok,114887970.275,14694,23774,9080,4,4,1727;129;12591;247,2305843009213693967:1024;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:270;2305843009213694149:270;2305843009213694173:270;2305843009213694207:270;2305843009213694257:270;2305843009213694317:270;2305843009213694323:270;2305843009213694381:270;2305843009213694411:270;2305843009213694429:270;2305843009213694443:270;2305843009213694491:270;2305843009213694497:270;2305843009213694569:270;2305843009213694597:270;2305843009213694683:270;2305843009213694791:269;2305843009213694837:269;2305843009213694851:271;2305843009213694887:268;2305843009213694917:267;2305843009213694963:266;2305843009213695001:266;2305843009213695011:265;2305843009213695023:264;2305843009213695113:263;2305843009213695187:262;2305843009213695191:261;2305843009213695209:260;2305843009213695257:258;2305843009213695349:255;2305843009213695361:244;2305843009213695397:237;2305843009213695431:237;2305843009213695437:230;2305843009213695509:230;2305843009213695529:223;2305843009213695547:223;2305843009213695551:216;2305843009213695563:209;2305843009213695577:208;2305843009213695673:204;2305843009213695701:194;2305843009213695793:186;2305843009213695803:175;2305843009213695829:167;2305843009213695869:160;2305843009213695871:151;2305843009213695901:135;2305843009213695937:53;2305843009213695997:3
