case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
ibp_tth2l_b25_rank0002,AutomaticNoFactorReuse,3,ok,1901400.102,9960,44,43,42,0,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:292;2305843009213694149:292;2305843009213694173:292;2305843009213694207:292;2305843009213694257:292;2305843009213694317:292;2305843009213694323:292;2305843009213694381:292;2305843009213694411:292;2305843009213694429:292;2305843009213694443:292;2305843009213694491:292;2305843009213694497:292;2305843009213694569:287;2305843009213694597:287;2305843009213694683:282;2305843009213694791:278;2305843009213694837:277;2305843009213694851:272;2305843009213694887:267;2305843009213694917:262;2305843009213694963:252;2305843009213695001:247;2305843009213695011:235;2305843009213695023:192;2305843009213695113:162;2305843009213695187:162;2305843009213695191:162;2305843009213695209:156;2305843009213695257:150;2305843009213695349:150;2305843009213695361:141;2305843009213695397:135;2305843009213695431:128;2305843009213695437:120;2305843009213695509:114;2305843009213695529:108;2305843009213695547:93;2305843009213695551:66;2305843009213695563:3,Symbolica_default,cached_powers_Q,156,135,4.845,BalancedZippel,0
ibp_tth2l_b25_rank0002,Automatic,3,ok,930076.025,6027,46,45,44,0,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:136;2305843009213694149:136;2305843009213694173:136;2305843009213694207:136;2305843009213694257:136;2305843009213694317:136;2305843009213694323:136;2305843009213694381:136;2305843009213694411:136;2305843009213694429:136;2305843009213694443:136;2305843009213694491:136;2305843009213694497:136;2305843009213694569:136;2305843009213694597:136;2305843009213694683:135;2305843009213694791:135;2305843009213694837:134;2305843009213694851:133;2305843009213694887:133;2305843009213694917:132;2305843009213694963:131;2305843009213695001:130;2305843009213695011:128;2305843009213695023:127;2305843009213695113:124;2305843009213695187:114;2305843009213695191:110;2305843009213695209:110;2305843009213695257:110;2305843009213695349:106;2305843009213695361:102;2305843009213695397:101;2305843009213695431:95;2305843009213695437:91;2305843009213695509:86;2305843009213695529:82;2305843009213695547:78;2305843009213695551:74;2305843009213695563:65;2305843009213695577:42;2305843009213695673:3,Symbolica_default,cached_powers_Q,156,135,5.697,BalancedZippel,1
ibp_tth2l_b25_rank0003,AutomaticNoFactorReuse,1,ok,186500.445,2368,21,20,19,0,2305843009213693967:144;2305843009213693973:136;2305843009213694009:136;2305843009213694017:136;2305843009213694087:136;2305843009213694149:136;2305843009213694173:136;2305843009213694207:136;2305843009213694257:136;2305843009213694317:136;2305843009213694323:136;2305843009213694381:136;2305843009213694411:131;2305843009213694429:126;2305843009213694443:120;2305843009213694491:116;2305843009213694497:69;2305843009213694569:61;2305843009213694597:55;2305843009213694683:47;2305843009213694791:3,Symbolica_default,cached_powers_Q,65,70,1.718,BalancedZippel,0
ibp_tth2l_b25_rank0003,Automatic,1,ok,100529.566,1727,23,22,21,0,2305843009213693967:144;2305843009213693973:136;2305843009213694009:136;2305843009213694017:136;2305843009213694087:71;2305843009213694149:71;2305843009213694173:71;2305843009213694207:71;2305843009213694257:71;2305843009213694317:71;2305843009213694323:71;2305843009213694381:71;2305843009213694411:71;2305843009213694429:71;2305843009213694443:70;2305843009213694491:69;2305843009213694497:67;2305843009213694569:67;2305843009213694597:56;2305843009213694683:50;2305843009213694791:45;2305843009213694837:38;2305843009213694851:3,Symbolica_default,cached_powers_Q,65,70,2.216,BalancedZippel,1
ibp_tth2l_b25_rank0003,Automatic,2,ok,101853.242,1727,23,22,21,0,2305843009213693967:144;2305843009213693973:136;2305843009213694009:136;2305843009213694017:136;2305843009213694087:71;2305843009213694149:71;2305843009213694173:71;2305843009213694207:71;2305843009213694257:71;2305843009213694317:71;2305843009213694323:71;2305843009213694381:71;2305843009213694411:71;2305843009213694429:71;2305843009213694443:70;2305843009213694491:69;2305843009213694497:67;2305843009213694569:67;2305843009213694597:56;2305843009213694683:50;2305843009213694791:45;2305843009213694837:38;2305843009213694851:3,Symbolica_default,cached_powers_Q,65,70,2.334,BalancedZippel,1
ibp_tth2l_b25_rank0003,AutomaticNoFactorReuse,2,ok,172013.708,2368,21,20,19,0,2305843009213693967:144;2305843009213693973:136;2305843009213694009:136;2305843009213694017:136;2305843009213694087:136;2305843009213694149:136;2305843009213694173:136;2305843009213694207:136;2305843009213694257:136;2305843009213694317:136;2305843009213694323:136;2305843009213694381:136;2305843009213694411:131;2305843009213694429:126;2305843009213694443:120;2305843009213694491:116;2305843009213694497:69;2305843009213694569:61;2305843009213694597:55;2305843009213694683:47;2305843009213694791:3,Symbolica_default,cached_powers_Q,65,70,2.238,BalancedZippel,0
ibp_tth2l_b25_rank0003,AutomaticNoFactorReuse,3,ok,185656.341,2368,21,20,19,0,2305843009213693967:144;2305843009213693973:136;2305843009213694009:136;2305843009213694017:136;2305843009213694087:136;2305843009213694149:136;2305843009213694173:136;2305843009213694207:136;2305843009213694257:136;2305843009213694317:136;2305843009213694323:136;2305843009213694381:136;2305843009213694411:131;2305843009213694429:126;2305843009213694443:120;2305843009213694491:116;2305843009213694497:69;2305843009213694569:61;2305843009213694597:55;2305843009213694683:47;2305843009213694791:3,Symbolica_default,cached_powers_Q,65,70,2.211,BalancedZippel,0
ibp_tth2l_b25_rank0003,Automatic,3,ok,85133.485,1727,23,22,21,0,2305843009213693967:144;2305843009213693973:136;2305843009213694009:136;2305843009213694017:136;2305843009213694087:71;2305843009213694149:71;2305843009213694173:71;2305843009213694207:71;2305843009213694257:71;2305843009213694317:71;2305843009213694323:71;2305843009213694381:71;2305843009213694411:71;2305843009213694429:71;2305843009213694443:70;2305843009213694491:69;2305843009213694497:67;2305843009213694569:67;2305843009213694597:56;2305843009213694683:50;2305843009213694791:45;2305843009213694837:38;2305843009213694851:3,Symbolica_default,cached_powers_Q,65,70,1.710,BalancedZippel,1
ibp_tth2l_b25_rank0004,AutomaticNoFactorReuse,1,ok,207228.667,2621,21,20,19,0,2305843009213693967:157;2305843009213693973:149;2305843009213694009:149;2305843009213694017:149;2305843009213694087:149;2305843009213694149:149;2305843009213694173:149;2305843009213694207:149;2305843009213694257:149;2305843009213694317:149;2305843009213694323:149;2305843009213694381:149;2305843009213694411:144;2305843009213694429:139;2305843009213694443:133;2305843009213694491:129;2305843009213694497:82;2305843009213694569:72;2305843009213694597:65;2305843009213694683:58;2305843009213694791:3,Symbolica_default,cached_powers_Q,78,70,1.867,BalancedZippel,0
ibp_tth2l_b25_rank0004,Automatic,1,ok,93957.510,1778,23,22,21,0,2305843009213693967:157;2305843009213693973:149;2305843009213694009:149;2305843009213694017:149;2305843009213694087:71;2305843009213694149:71;2305843009213694173:71;2305843009213694207:71;2305843009213694257:71;2305843009213694317:71;2305843009213694323:71;2305843009213694381:71;2305843009213694411:71;2305843009213694429:71;2305843009213694443:70;2305843009213694491:69;2305843009213694497:67;2305843009213694569:67;2305843009213694597:56;2305843009213694683:50;2305843009213694791:44;2305843009213694837:38;2305843009213694851:3,Symbolica_default,cached_powers_Q,78,70,2.223,BalancedZippel,1
ibp_tth2l_b25_rank0004,Automatic,2,ok,108015.076,1778,23,22,21,0,2305843009213693967:157;2305843009213693973:149;2305843009213694009:149;2305843009213694017:149;2305843009213694087:71;2305843009213694149:71;2305843009213694173:71;2305843009213694207:71;2305843009213694257:71;2305843009213694317:71;2305843009213694323:71;2305843009213694381:71;2305843009213694411:71;2305843009213694429:71;2305843009213694443:70;2305843009213694491:69;2305843009213694497:67;2305843009213694569:67;2305843009213694597:56;2305843009213694683:50;2305843009213694791:44;2305843009213694837:38;2305843009213694851:3,Symbolica_default,cached_powers_Q,78,70,2.223,BalancedZippel,1
ibp_tth2l_b25_rank0004,AutomaticNoFactorReuse,2,ok,186828.996,2621,21,20,19,0,2305843009213693967:157;2305843009213693973:149;2305843009213694009:149;2305843009213694017:149;2305843009213694087:149;2305843009213694149:149;2305843009213694173:149;2305843009213694207:149;2305843009213694257:149;2305843009213694317:149;2305843009213694323:149;2305843009213694381:149;2305843009213694411:144;2305843009213694429:139;2305843009213694443:133;2305843009213694491:129;2305843009213694497:82;2305843009213694569:72;2305843009213694597:65;2305843009213694683:58;2305843009213694791:3,Symbolica_default,cached_powers_Q,78,70,1.815,BalancedZippel,0
ibp_tth2l_b25_rank0004,AutomaticNoFactorReuse,3,ok,198449.312,2621,21,20,19,0,2305843009213693967:157;2305843009213693973:149;2305843009213694009:149;2305843009213694017:149;2305843009213694087:149;2305843009213694149:149;2305843009213694173:149;2305843009213694207:149;2305843009213694257:149;2305843009213694317:149;2305843009213694323:149;2305843009213694381:149;2305843009213694411:144;2305843009213694429:139;2305843009213694443:133;2305843009213694491:129;2305843009213694497:82;2305843009213694569:72;2305843009213694597:65;2305843009213694683:58;2305843009213694791:3,Symbolica_default,cached_powers_Q,78,70,2.207,BalancedZippel,0
ibp_tth2l_b25_rank0004,Automatic,3,ok,111470.649,1778,23,22,21,0,2305843009213693967:157;2305843009213693973:149;2305843009213694009:149;2305843009213694017:149;2305843009213694087:71;2305843009213694149:71;2305843009213694173:71;2305843009213694207:71;2305843009213694257:71;2305843009213694317:71;2305843009213694323:71;2305843009213694381:71;2305843009213694411:71;2305843009213694429:71;2305843009213694443:70;2305843009213694491:69;2305843009213694497:67;2305843009213694569:67;2305843009213694597:56;2305843009213694683:50;2305843009213694791:44;2305843009213694837:38;2305843009213694851:3,Symbolica_default,cached_powers_Q,78,70,2.242,BalancedZippel,1
