case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
coeff_prop_4l,Automatic,1,ok,11595071.894,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,53.422,BalancedZippel
aajamp,Automatic,1,ok,15911832.596,43960,2,1,0,0,2305843009213693967:43957;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5274.476,CuytLeePruned
aajamp_mod,Automatic,1,ok,15656011.220,43958,2,1,0,0,2305843009213693967:43955;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5237.218,CuytLeePruned
