case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms
coeff_prop_4l,BalancedZippelSeparated,1,ok,10786709.232,77910,8,7,6,0,2305843009213693967:19713;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,81.246
aajamp,BalancedZippelSeparated,1,ok,57564524.764,130929,2,1,0,0,2305843009213693967:130926;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5607.773
fire7_nb0_largest,BalancedZippelSeparated,1,ok,36102.799,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,49.938
