case,method,seed,status,elapsed_us,probes,prime,oracle,degree_race,num_terms,den_terms,setup_ms,selected_methods,selection_probes
firefly_f1,Automatic,1,ok,47592.459,8596,9223372036854775783,cached_powers,0,20,20,0.344,BalancedZippel,132
firefly_f2,Automatic,1,ok,68601.254,2271,9223372036854775783,cached_powers,0,3,2,0.263,BalancedZippel,227
firefly_f3,Automatic,1,ok,10687872.039,26810,9223372036854775783,cached_powers,0,26333,3,118.886,CuytLeePruned,326
firefly_f4,Automatic,1,ok,44066568.695,53639,9223372036854775783,cached_powers,0,53129,3,58.686,CuytLeePruned,362
