case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
coeff_prop_4l,Automatic,1,ok,11308788.267,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,67.674,BalancedZippel
coeff_prop_4l_mod,Automatic,1,ok,11271321.949,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,68.585,BalancedZippel
aajamp,Automatic,1,ok,16851980.778,44023,2,1,0,0,2305843009213693967:44020;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5258.650,CuytLeePruned
aajamp_mod,Automatic,1,ok,22880343.009,44021,2,1,0,0,2305843009213693967:44018;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,7681.089,CuytLeePruned
fire7_nb0_largest,Automatic,1,ok,53175.284,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,45.102,BalancedZippelSeparated
