case,method,seed,status,elapsed_us,probes,prime,oracle,degree_race,num_terms,den_terms,setup_ms,selected_methods,selection_probes,sparse_rows,sparse_row_fallbacks
firefly_f1,Automatic,1,ok,19494.171,1858,9223372036854775783,cached_powers,0,20,20,0.562,BalancedZippel,131,190,0
firefly_f2,Automatic,1,ok,18219.546,1264,9223372036854775783,cached_powers,0,3,2,0.579,BalancedZippel,226,3,0
firefly_f3,Automatic,1,ok,15972317.446,26702,9223372036854775783,cached_powers,0,26333,3,73.135,CuytLeePruned,218,0,0
firefly_f4,Automatic,1,ok,61944198.238,53531,9223372036854775783,cached_powers,0,53129,3,133.719,CuytLeePruned,254,0,0
