case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_tth2l_b16_rank0001,FIRE7_Q_learned,1,ok,398917.306,6539,3,2,,,18446744073709551521:3;18446744073709551533:3255;18446744073709551557:3281,FIRE7_native_64,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0002,FIRE7_Q_learned,1,ok,18919.110,956,3,2,,,18446744073709551521:3;18446744073709551533:469;18446744073709551557:484,FIRE7_native_64,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0003,FIRE7_Q_learned,1,ok,41583.734,1616,3,2,,,18446744073709551521:3;18446744073709551533:794;18446744073709551557:819,FIRE7_native_64,cached_powers_Q,270,28,,
ibp_tth2l_b16_rank0004,FIRE7_Q_learned,1,ok,36543.225,1533,3,2,,,18446744073709551521:3;18446744073709551533:756;18446744073709551557:774,FIRE7_native_64,cached_powers_Q,224,28,,
