case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
coeff_prop_4l,Automatic,1,ok,17009584.462,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,88.678,BalancedZippel
coeff_prop_4l_mod,Automatic,1,ok,16632494.020,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,88.006,BalancedZippel
aajamp,Automatic,1,ok,23163000.054,43957,2,1,0,0,2305843009213693967:43954;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,7735.036,CuytLeePruned
aajamp_mod,Automatic,1,ok,17303684.420,43955,2,1,0,0,2305843009213693967:43952;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5969.753,CuytLeePruned
fire7_nb0_largest,Automatic,1,ok,34839.389,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.635,BalancedZippelSeparated
