case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0009,BalancedZippelSeparated,1,ok,16841.651,1283,2,1,0,0,2305843009213693967:1280;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,3.283,BalancedZippelSeparated
fire7_nb0_rank0009,FireFly_scan,1,ok,178768.488,3168,2,,,,9223372036854775643:135;9223372036854775783:3033,FireFly_default,cached_powers_Q,578,261,,
fire7_nb0_rank0009,FIRE7_Q_learned,1,ok,104855.536,4733,3,2,,,18446744073709551521:3;18446744073709551533:2341;18446744073709551557:2389,FIRE7_native_64,cached_powers_Q,578,261,,
fire7_nb0_rank0009,Automatic,1,ok,17437.604,1329,2,1,0,0,2305843009213693967:1326;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,3.248,BalancedZippelSeparated
fire7_nb0_rank0010,BalancedZippelSeparated,1,ok,19361.461,1444,2,1,0,0,2305843009213693967:1441;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,3.059,BalancedZippelSeparated
fire7_nb0_rank0010,FireFly_scan,1,ok,294821.954,4812,2,,,,9223372036854775643:131;9223372036854775783:4681,FireFly_default,cached_powers_Q,639,196,,
fire7_nb0_rank0010,FIRE7_Q_learned,1,ok,111533.550,5354,3,2,,,18446744073709551521:3;18446744073709551533:2651;18446744073709551557:2700,FIRE7_native_64,cached_powers_Q,639,196,,
fire7_nb0_rank0010,Automatic,1,ok,19736.943,1482,2,1,0,0,2305843009213693967:1479;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,3.130,BalancedZippelSeparated
fire7_nb0_rank0011,BalancedZippelSeparated,1,ok,19496.032,1460,2,1,0,0,2305843009213693967:1457;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,3.054,BalancedZippelSeparated
fire7_nb0_rank0011,FireFly_scan,1,ok,291122.410,4769,2,,,,9223372036854775643:131;9223372036854775783:4638,FireFly_default,cached_powers_Q,640,196,,
fire7_nb0_rank0011,FIRE7_Q_learned,1,ok,112251.052,5422,3,2,,,18446744073709551521:3;18446744073709551533:2685;18446744073709551557:2734,FIRE7_native_64,cached_powers_Q,640,196,,
