case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods,factor_reductions
coeff_prop_4l,Automatic,1,ok,17828222.963,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,93.762,BalancedZippel,0
coeff_prop_4l_mod,Automatic,1,ok,18100860.317,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,92.885,BalancedZippel,0
aajamp,Automatic,1,ok,18599752.115,43957,2,1,0,0,2305843009213693967:43954;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,6576.132,CuytLeePruned,0
aajamp_mod,Automatic,1,ok,18642382.533,43955,2,1,0,0,2305843009213693967:43952;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,6141.628,CuytLeePruned,0
fire7_nb0_largest,Automatic,1,ok,41519.520,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.905,BalancedZippelSeparated,0
