case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
sparse3,BalancedZippelSeparated,4,1000,1537.996,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,4,1000,1484.726,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,5,1000,1547.596,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,5,1000,832.103,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,5,1000,1457.846,175,0,1,4,15,4,3,0,0
sparse3,CuytLee,6,1000,1458.165,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,6,1000,849.752,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,6,1000,1548.445,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,7,1000,1480.446,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,7,1000,1560.726,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,7,1000,832.294,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,8,1000,1552.086,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,8,1000,1477.656,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,8,1000,833.963,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippel,9,1000,832.563,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,9,1000,1441.235,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,9,1000,1564.206,186,0,1,6,0,4,3,6,1
sparse4,CuytLee,1,1000,947.233,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,1,1000,1138.724,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,1,1000,613.212,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,2,1000,1142.404,136,0,1,8,0,4,3,12,1
sparse4,CuytLee,2,1000,965.063,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,2,1000,600.513,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippel,3,1000,606.882,72,0,1,4,0,4,3,6,0
sparse4,CuytLee,3,1000,930.653,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,3,1000,1136.064,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,4,1000,614.782,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,4,1000,1128.375,136,0,1,8,0,4,3,12,1
sparse4,CuytLee,4,1000,945.123,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,5,1000,1129.624,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,5,1000,605.682,72,0,1,4,0,4,3,6,0
sparse4,CuytLee,5,1000,937.514,116,0,1,5,11,4,3,0,0
sparse4,CuytLee,6,1000,921.753,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,6,1000,598.682,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,6,1000,1118.444,136,0,1,8,0,4,3,12,1
sparse4,CuytLee,7,1000,944.614,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,7,1000,1139.914,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,7,1000,609.752,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,8,1000,1130.335,136,0,1,8,0,4,3,12,1
sparse4,CuytLee,8,1000,951.623,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,8,1000,609.012,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippel,9,1000,602.462,72,0,1,4,0,4,3,6,0
sparse4,CuytLee,9,1000,964.874,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,9,1000,1138.224,136,0,1,8,0,4,3,12,1
homogeneous_shift,CuytLee,1,1000,823.784,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,1,1000,764.163,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,1,1000,412.571,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,2,1000,774.212,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,2,1000,812.814,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,2,1000,407.651,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippel,3,1000,402.762,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,3,1000,839.223,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,3,1000,783.433,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,4,1000,409.262,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,4,1000,785.633,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,4,1000,853.793,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,5,1000,788.693,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,5,1000,402.672,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,5,1000,821.543,104,1,1,4,8,3,3,0,0
homogeneous_shift,CuytLee,6,1000,825.403,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,6,1000,408.652,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,6,1000,780.623,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,7,1000,818.013,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,7,1000,773.823,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,7,1000,402.031,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,8,1000,779.463,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,8,1000,818.263,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,8,1000,402.351,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippel,9,1000,518.442,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,9,1000,827.343,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,9,1000,776.163,94,0,1,6,0,3,3,6,1
dense_total3,CuytLee,1,1000,1449.515,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,1,1000,2593.100,276,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,1,1000,1479.946,160,0,1,3,0,35,20,18,0
dense_total3,BalancedZippelSeparated,2,1000,2520.380,276,0,1,6,0,35,20,36,1
dense_total3,CuytLee,2,1000,1407.515,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,2,1000,1494.836,160,0,1,3,0,35,20,18,0
